ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,insiders_score,institutional_score,num_whales,top_whales,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
EXEL,0.0,50.0,6.029999999999999,,,"Exelixis, Inc.",60.3,Healthcare,Biotechnology,60.0,50.0,47.6,95.0,60.0,41.26,11062306816.0,35.0,39.9,False,down,,,0.0,7.8,False,0.0,14.2,9.3,True,49.62,-16.8,3.0,False,"{'roe_pct': 35.5, 'debt_to_equity': 0.09, 'current_ratio': 3.56, 'operating_margin_pct': 39.4}",{'profit_margin_pct': 33.7},46.83,60.0,35.0,18.0,buy,13.5,103.06,149.8,83.4,102.1,5.71,2.43,,,,True,-8.57,88.9,58.9,53.0,2026-05-12,False,False,6.0,NEUTRAL,9.06,60.4,0.12,,,,,,70.0,0.0,0.0,,8.0,0.0,15.0,18.1,2026-03-20 07:55:35,2026-03-20,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 40% up volume)",MEGA_FLOAT,211.4,38.0,33.1,35.0,False,down,39.9,0.0,,0.0,False,0.0,0.0,17,42.0,61.9,Medio,43.8,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,False,1/3,75.12,0.0,0.0,6.0,0.0,3.0,5.0,1.69,0.0,2.0,9,0,,⭐⭐ STRONG,🟢 Elite,,,,,,,
LIFE,0.0,50.0,0.0,,,Ethos Technologies Inc.,56.5,Financial Services,Insurance Brokers,55.0,50.0,36.0,95.0,60.0,10.0,628112064.0,15.0,4.1,False,down,,,0.0,,,0.0,2.0,0.6,False,19.0,-47.4,,,"{'roe_pct': 21.0, 'debt_to_equity': 0.01, 'current_ratio': 2.17, 'operating_margin_pct': 22.2}",{'profit_margin_pct': 18.4},20.25,31.0,14.0,8.0,none,102.5,70.39,603.9,34.2,242.0,8.12,1.66,,,,False,,100.3,81.2,,,False,False,5.0,NEUTRAL,12.22,46.5,0.04,,,,,,100.0,0.0,0.0,,12.0,0.0,15.0,17.0,2026-03-20 07:55:35,2026-03-20,CONFIRMED_UPTREND,TRADE,False,0,Insufficient data,UNKNOWN,50,Insufficient data,MICRO_FLOAT,6.8,20.0,32.0,15.0,False,down,4.1,0.0,,0.0,,0.0,0.0,31,42.0,28.6,Bajo 50%,19.9,0.0,0.0,-5.0,0.0,0.0,0.0,5.0,0.0,False,1/3,73.6,0.0,0.0,8.0,0.0,0.0,5.0,12.81,3.0,0.0,7,0,,⭐⭐ STRONG,🟢 Excellent,,,,,,,
SGU,0.0,50.0,18.67,,,Star Group L.P.,51.7,Energy,Oil & Gas Refining & Marketing,50.0,50.0,58.7,50.0,50.0,12.6,414276128.0,35.0,31.8,False,up,,,0.0,-27.4,True,2.0,0.2,1.7,False,13.64,-7.6,5.0,False,"{'roe_pct': 24.9, 'debt_to_equity': 1.11, 'current_ratio': 0.73, 'operating_margin_pct': 9.9}",{'profit_margin_pct': 4.1},,,,,none,,27.83,120.9,25.92,105.7,9.73,1.23,5.87,37.9,5.6,True,-4.81,8.1,6.8,47.0,2026-05-06,False,False,8.0,STRONG,15.75,52.8,1.06,,,,,,90.0,0.0,0.0,,45.5,0.0,15.0,15.5,2026-03-20 07:55:35,2026-03-20,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 51% up volume)",MEDIUM_FLOAT,26.6,0.0,30.5,35.0,False,up,31.8,2.0,,0.0,True,2.0,2.0,,42.0,,Sin datos suficientes,31.8,0.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,False,3/3,72.828,8.0,0.0,8.0,5.0,3.0,3.0,,0.0,10.0,4,0,,⭐⭐ STRONG,🟢 Excellent,,,,,,,
MWA,0.0,50.0,18.88,,,MUELLER WATER PRODUCTS,53.8,Industrials,Specialty Industrial Machinery,55.0,30.0,63.9,80.0,50.0,27.56,4309979136.0,60.0,51.1,False,up,,,0.0,-12.7,False,0.0,3.9,3.4,False,31.0,-11.1,5.0,False,"{'roe_pct': 21.6, 'debt_to_equity': 0.44, 'current_ratio': 4.02, 'operating_margin_pct': 18.9}",{'profit_margin_pct': 13.8},30.33,35.0,25.0,6.0,none,10.1,31.27,13.5,28.83,4.6,3.5,0.96,0.99,21.3,1.5,True,-0.48,14.9,11.3,45.0,2026-05-04,False,False,8.0,STRONG,6.35,25.4,0.78,,,,,,90.0,0.0,0.0,,44.1,0.0,15.0,16.1,2026-03-20 07:55:35,2026-03-20,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",HIGH_FLOAT,154.1,0.0,31.1,60.0,False,up,51.1,2.0,,0.0,False,0.0,0.0,14,42.0,69.0,Medio,49.4,0.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,False,3/3,72.52,0.0,0.0,3.0,0.0,3.0,3.0,1.26,0.0,10.0,25,0,,⭐⭐ STRONG,🟢 Excellent,,,,,,,
INDV,0.0,50.0,17.33,,,"Indivior Pharmaceuticals, Inc.",68.3,Healthcare,Drug Manufacturers - Specialty & Generic,55.0,90.0,74.0,50.0,70.0,30.5,3814489856.0,80.0,79.7,False,down,,,0.0,34.6,True,1.0,8.1,5.5,True,38.0,-19.7,7.0,True,"{'current_ratio': 0.71, 'operating_margin_pct': 37.2}",{'profit_margin_pct': 16.9},46.86,54.0,39.0,7.0,strong_buy,53.6,75.19,146.5,49.2,61.3,5.81,1.77,,,,True,-0.29,6.3,376.2,41.0,2026-04-30,False,False,4.0,NEUTRAL,7.15,167.1,0.02,,,,,,100.0,0.0,0.0,,60.5,0.0,15.0,20.5,2026-03-20 07:55:35,2026-03-20,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,55,"No clear pattern (0.9x ratio, 46% up volume)",HIGH_FLOAT,106.9,0.0,35.5,80.0,False,down,79.7,3.0,,0.0,True,1.0,2.0,5,42.0,90.5,Top 10%,66.8,5.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,False,2/3,71.32,0.0,0.0,6.0,0.0,3.0,5.0,6.7,3.0,0.0,8,0,,⭐⭐ STRONG,🟢 Excellent,BUY,100.0,Good pullback (-19.7% from high) - valid VCP setup | Strong upside (+53.6%) - analyst support,-19.7,NEUTRAL,STRONG_BUY,False
BUKS,0.0,50.0,31.75,,,Butler National Corp.,77.5,Industrials,Aerospace & Defense,60.0,90.0,89.0,95.0,50.0,3.91,252000512.0,95.0,95.1,False,up,,,0.0,24.6,True,2.0,,,False,4.19,-6.7,8.0,True,"{'roe_pct': 28.4, 'debt_to_equity': 0.46, 'current_ratio': 1.89, 'operating_margin_pct': 34.3}",{'profit_margin_pct': 21.4},,,,,none,,7.44,90.3,9.0,130.2,4.47,0.18,,,,True,-2.47,14.0,50.0,,,False,False,7.0,NEUTRAL,7.54,21.8,0.13,,,,,,100.0,0.0,0.0,,63.2,0.0,15.0,23.2,2026-03-20 07:55:35,2026-03-20,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 55% up volume)",MEDIUM_FLOAT,29.0,0.0,38.2,95.0,False,up,95.1,5.0,,0.0,True,2.0,2.0,24,42.0,45.2,Bajo 50%,33.6,0.0,0.0,3.0,10.0,0.0,0.0,5.0,0.0,False,3/3,69.7,0.0,0.0,3.0,0.0,3.0,5.0,,0.0,5.0,20,0,,⭐ GOOD,🟢 Excellent,HOLD,50.0,Close to ATH (-6.7% from high) - wait for pullback,-6.7,NEUTRAL,NONE,False
LPG,0.0,50.0,31.09,,,Dorian LPG Ltd.,70.9,Energy,Oil & Gas Midstream,60.0,80.0,74.6,80.0,60.0,33.79,1444323328.0,80.0,84.3,False,up,,,0.0,58.1,False,0.0,4.6,2.6,False,38.4,-12.0,8.0,True,"{'roe_pct': 11.2, 'debt_to_equity': 0.62, 'current_ratio': 2.42, 'operating_margin_pct': 43.3}",{'profit_margin_pct': 30.4},36.12,41.0,26.5,4.0,buy,6.9,100.74,198.1,84.9,151.3,7.03,2.38,7.25,86.6,,True,-0.47,5.4,85.1,62.0,2026-05-21,False,False,4.0,NEUTRAL,6.77,7.6,0.08,,,,,,90.0,0.0,0.0,,62.3,0.0,15.0,21.3,2026-03-20 07:55:35,2026-03-20,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),STRONG_ACCUMULATION,75,"Strong institutional buying (1.6x ratio, 61% up volume)",MEDIUM_FLOAT,36.8,0.0,36.3,80.0,False,up,84.3,5.0,,0.0,False,0.0,0.0,6,42.0,88.1,Top 25%,63.8,3.0,0.0,3.0,10.0,0.0,0.0,5.0,0.0,False,3/3,69.36,8.0,0.0,6.0,0.0,3.0,5.0,0.86,-3.0,0.0,41,0,,⭐ GOOD,🟢 Excellent,HOLD,55.0,Close to ATH (-12.0% from high) - wait for pullback,-12.0,NEUTRAL,BUY,False
SPGI,0.0,50.0,0.0,,,S&P Global Inc.,54.0,Financial Services,Financial Data & Stock Exchanges,60.0,50.0,36.0,65.0,65.0,426.14,129035198464.0,15.0,23.6,False,down,,,0.0,3.7,False,0.0,1.5,1.2,False,579.05,-26.4,0.0,False,"{'roe_pct': 13.1, 'debt_to_equity': 0.38, 'current_ratio': 0.82, 'operating_margin_pct': 38.3}",{'profit_margin_pct': 29.2},538.52,625.0,480.0,21.0,strong_buy,26.4,692.29,62.5,439.8,3.2,3.78,16.32,0.91,26.2,0.81,True,-3.88,22.6,32.0,39.0,2026-04-28,False,False,7.0,NEUTRAL,4.52,942.7,0.6,,,,,,90.0,0.0,0.0,,8.2,0.0,15.0,16.2,2026-03-20 07:55:35,2026-03-20,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 52% up volume)",MEGA_FLOAT,298.1,23.0,31.2,15.0,False,down,23.6,0.0,,0.0,False,0.0,0.0,,42.0,,Sin datos suficientes,23.6,0.0,0.0,0.0,-5.0,0.0,0.0,5.0,0.0,False,2/3,67.6,0.0,0.0,3.0,0.0,3.0,5.0,3.3,3.0,5.0,22,0,,⭐ GOOD,🟢 Excellent,,,,,,,
PACS,0.0,50.0,16.23,,,"PACS Group, Inc.",57.3,Healthcare,Medical Care Facilities,50.0,50.0,76.7,50.0,70.0,34.64,5444196352.0,80.0,83.2,False,down,,,0.0,6.3,False,0.0,8.4,3.7,True,43.08,-19.6,7.0,True,"{'roe_pct': 23.0, 'debt_to_equity': 3.78, 'current_ratio': 1.07, 'operating_margin_pct': 7.0}",{'profit_margin_pct': 3.6},46.4,52.0,42.0,5.0,strong_buy,33.9,65.27,88.4,36.6,5.7,4.44,1.54,,,,False,,11.0,57.2,48.0,2026-05-07,False,False,8.0,STRONG,3.53,7.4,0.26,,,,,,70.0,0.0,0.0,,38.2,0.0,15.0,17.2,2026-03-20 07:55:35,2026-03-20,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),DISTRIBUTION,25,"Moderate distribution (0.6x ratio, 37% up volume)",MEDIUM_FLOAT,45.9,15.0,32.2,80.0,False,down,83.2,3.0,,0.0,False,0.0,0.0,7,42.0,85.7,Top 25%,61.7,3.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,False,2/3,66.92,0.0,0.0,3.0,0.0,0.0,5.0,4.24,3.0,10.0,69,0,,⭐ GOOD,🟢 Excellent,,,,,,,
FTAI,0.0,50.0,14.58,,,FTAI Aviation Ltd.,70.8,Industrials,Rental & Leasing Services,55.0,90.0,75.0,65.0,70.0,240.14,24631947264.0,60.0,71.0,False,up,,,0.0,31.9,True,1.0,4.7,2.1,False,323.51,-25.8,6.0,False,"{'roe_pct': 241.2, 'debt_to_equity': 10.46, 'current_ratio': 5.28, 'operating_margin_pct': 28.5}",{'profit_margin_pct': 20.0},336.2,375.0,266.0,10.0,strong_buy,40.0,,,137.38,-42.8,-3.14,-7.53,0.56,27.2,3.38,True,-0.5,3.4,29.8,41.0,2026-04-30,False,False,6.0,NEUTRAL,3.07,25.2,0.73,,,,,,90.0,0.0,0.0,,45.2,0.0,15.0,21.2,2026-03-20 07:55:35,2026-03-20,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",HIGH_FLOAT,101.1,5.0,36.2,60.0,False,up,71.0,2.0,,0.0,True,1.0,2.0,22,42.0,50.0,Medio,35.5,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,False,2/3,66.32,0.0,0.0,-5.0,0.0,3.0,5.0,5.0,3.0,2.0,54,0,,⭐ GOOD,🟢 Excellent,,,,,,,
