ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at
BUKS,Butler National Corp.,77.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,89.0,95.0,50.0,95.0,95.1,False,up,,,0,24.6,True,2,{'profit_margin_pct': 21.4},"{'revenue_growth_yoy': np.float64(24.6), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(30.5), 'rs_6m': np.float64(133.9), 'rs_line_percentile': 95.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 28.4, 'debt_to_equity': 0.46, 'current_ratio': 1.89, 'operating_margin_pct': 34.3}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",3.91,252000512,Industrials,Aerospace & Defense,,,False,4.19,-6.7,8.0,True,,,,,none,,7.44,90.3,9.0,130.2,4.47,0.18,,,,,True,-2.47,14.0,50.0,,,False,False,7.0,NEUTRAL,7.54,21.8,0.13,2026-03-20T07:47:25.950942
MSGM,Motorsport Games Inc.,77.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,83.0,100.0,50.0,80.0,81.3,False,up,,,0,118.8,True,1,{'profit_margin_pct': 61.3},"{'revenue_growth_yoy': np.float64(118.8), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(28.6), 'rs_6m': np.float64(44.0), 'rs_line_percentile': 81.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 155.4, 'debt_to_equity': 0.0, 'current_ratio': 2.25, 'operating_margin_pct': 48.7}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",4.03,20466158,Communication Services,Electronic Gaming & Multimedia,1.9,0.7,False,5.409,-25.5,7.0,True,,,,,none,,4.24,5.2,14.3,254.8,2.48,0.1,,,,,False,,352.3,,48.0,2026-05-07,False,False,5.0,NEUTRAL,40.61,154.7,,2026-03-20T07:53:24.011186
INR,"Infinity Natural Resources, Inc",74.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,50.0,100.0,75.0,85.0,65.0,60.0,58.1,False,up,,,0,37.5,True,2,{'profit_margin_pct': 6.7},"{'revenue_growth_yoy': np.float64(37.5), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(28.7), 'rs_6m': np.float64(28.5), 'rs_line_percentile': 58.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 8.6, 'debt_to_equity': 0.16, 'current_ratio': 1.57, 'operating_margin_pct': 70.5}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 25.1}",17.5,317899744,Energy,Oil & Gas E&P,4.5,5.8,False,19.899,-12.1,6.0,False,21.89,27.0,18.0,9.0,strong_buy,25.1,,,8.9,-49.1,-56.53,-9.89,,,,,False,,7.1,,52.0,2026-05-11,False,False,7.0,NEUTRAL,6.04,6.1,0.58,2026-03-20T07:53:04.934197
NVT,nVent Electric plc,72.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,80.0,91.0,80.0,60.0,100.0,100.0,True,up,,,0,31.8,False,0,{'profit_margin_pct': 18.2},"{'revenue_growth_yoy': np.float64(31.8), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(30.7), 'rs_6m': np.float64(24.5), 'rs_line_percentile': 100.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 12.3, 'debt_to_equity': 0.46, 'current_ratio': 1.63, 'operating_margin_pct': 16.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 4.5}",122.58,19824799744,Industrials,Electrical Equipment & Parts,3.4,1.9,False,124.22,-1.3,8.0,True,128.16,148.0,68.04,13.0,strong_buy,4.5,150.58,22.8,78.0,-36.4,2.9,3.55,0.69,30.8,0.84,1.49,True,-1.28,8.3,1112.4,42.0,2026-05-01,False,False,6.0,NEUTRAL,2.93,52.1,0.02,2026-03-20T07:48:39.291756
BBT,Beacon Financial Corporation,71.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,100.0,73.1,60.0,65.0,80.0,82.4,False,up,,,0,142.6,True,2,{'profit_margin_pct': 17.6},"{'revenue_growth_yoy': np.float64(142.6), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(5.9), 'rs_6m': np.float64(14.1), 'rs_line_percentile': 82.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 4.9, 'operating_margin_pct': 58.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 19.7}",28.89,2424126976,Financial Services,Banks - Regional,5.1,4.0,False,32.0,-9.7,6.0,False,34.57,42.0,31.0,7.0,buy,19.7,,,30.9,7.0,,,4.46,124.9,1.29,4.53,False,,,500.8,34.0,2026-04-23,False,False,4.0,NEUTRAL,,,0.01,2026-03-20T07:51:06.018421
VXRT,"Vaxart, Inc.",71.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,50.0,80.0,75.0,95.0,70.0,60.0,71.7,False,up,,,0,399.3,False,0,{'profit_margin_pct': 6.9},"{'revenue_growth_yoy': np.float64(399.3), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(77.1), 'rs_6m': np.float64(66.5), 'rs_line_percentile': 71.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 22.3, 'debt_to_equity': 0.15, 'current_ratio': 1.57, 'operating_margin_pct': 53.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 361.5}",0.65,156038848,Healthcare,Biotechnology,9.4,2.6,True,0.84,-22.6,7.0,True,3.0,4.0,2.0,2.0,strong_buy,361.5,,,0.7,7.7,-19.77,-0.13,,,,,False,,7.0,,53.0,2026-05-12,False,False,5.0,NEUTRAL,18.66,29.6,,2026-03-20T07:54:23.377155
CHUC,"Charlie's Holdings, Inc.",71.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,71.0,75.0,50.0,80.0,75.5,False,down,,,0,298.9,True,1,{'profit_margin_pct': 23.7},"{'revenue_growth_yoy': np.float64(298.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(39.5), 'rs_6m': np.float64(-11.8), 'rs_line_percentile': 75.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 80}","{'roe_pct': 328.1, 'debt_to_equity': 0.99, 'current_ratio': 1.46, 'operating_margin_pct': -4.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",0.29,78489440,Consumer Defensive,Tobacco,,0.1,False,0.38,-23.7,8.0,True,,,,,none,,,,0.1,-65.5,-6.9,-0.02,,,,,False,,5.4,,,,False,False,2.0,WEAK,-4.16,-2780.6,,2026-03-20T07:44:47.577026
LPG,Dorian LPG Ltd.,70.9,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,74.6,80.0,60.0,80.0,84.3,False,up,,,0,58.1,False,0,{'profit_margin_pct': 30.4},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(38.9), 'rs_6m': np.float64(9.4), 'rs_line_percentile': 84.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 11.2, 'debt_to_equity': 0.62, 'current_ratio': 2.42, 'operating_margin_pct': 43.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 6.9}",33.79,1444323328,Energy,Oil & Gas Midstream,4.6,2.6,False,38.4,-12.0,8.0,True,36.12,41.0,26.5,4.0,buy,6.9,100.74,198.1,84.9,151.3,7.03,2.38,7.25,86.6,2.45,,True,-0.47,5.4,85.1,62.0,2026-05-21,False,False,4.0,NEUTRAL,6.77,7.6,0.08,2026-03-20T07:48:05.600430
FTAI,FTAI Aviation Ltd.,70.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,90.0,75.0,65.0,70.0,60.0,71.0,False,up,,,0,31.9,True,1,{'profit_margin_pct': 20.0},"{'revenue_growth_yoy': np.float64(31.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(49.2), 'rs_6m': np.float64(35.1), 'rs_line_percentile': 71.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 241.2, 'debt_to_equity': 10.46, 'current_ratio': 5.28, 'operating_margin_pct': 28.5}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 40.0}",240.14,24631947264,Industrials,Rental & Leasing Services,4.7,2.1,False,323.51,-25.8,6.0,False,336.2,375.0,266.0,10.0,strong_buy,40.0,,,137.38,-42.8,-3.14,-7.53,0.56,27.2,1.35,3.38,True,-0.5,3.4,29.8,41.0,2026-04-30,False,False,6.0,NEUTRAL,3.07,25.2,0.73,2026-03-20T07:50:08.999348
MNR,Mach Natural Resources LP,70.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,90.0,71.4,70.0,70.0,60.0,64.3,False,up,,,0,70.9,True,1,{'profit_margin_pct': 13.7},"{'revenue_growth_yoy': np.float64(70.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(26.8), 'rs_6m': np.float64(10.0), 'rs_line_percentile': 64.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 9.0, 'debt_to_equity': 0.58, 'current_ratio': 1.05, 'operating_margin_pct': 30.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 35.5}",14.02,2361287936,Energy,Oil & Gas E&P,2.3,5.6,False,15.91,-11.9,5.0,False,19.0,20.0,17.0,6.0,strong_buy,35.5,,,24.74,76.5,-18.15,-2.54,14.05,178.0,1.97,,False,,3.0,22.7,48.0,2026-05-07,False,False,4.0,NEUTRAL,6.19,6.4,0.5,2026-03-20T07:45:21.823409
