Ticker,Insider,Title,Date,Type,Price,Qty,Owned,Value,Source,ScrapedAt,Chart_Daily,Chart_Weekly
2026-03-16 09:33:25,CRH,Crh Public Ltd Co,Dir,P - Purchase,104.49,3800,143800,397%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/CRH_d.png,reports/graphs/CRH_w.png
2026-03-16 09:33:25,UUU,"Universal Safety Products, Inc.","Dir, 10%",P - Purchase,5.47,60500,634032,330%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/UUU_d.png,reports/graphs/UUU_w.png
2026-03-16 09:33:25,LOAR,Loar Holdings Inc.,"Dir, 10%",P - Purchase,64.97,4800,31443220,311%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/LOAR_d.png,reports/graphs/LOAR_w.png
2026-03-16 09:33:25,KOS,Kosmos Energy Ltd.,"SVP, CFO",P - Purchase,1.9,157894,1863061,299%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/KOS_d.png,reports/graphs/KOS_w.png
2026-03-16 09:33:25,SMRT,"Smartrent, Inc.",Dir,P - Purchase,1.74,150000,500000,260%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/SMRT_d.png,reports/graphs/SMRT_w.png
2026-03-16 09:33:25,VENU,Venu Holding Corp,"CEO, COB, 10%",P - Purchase,4.0,62500,10315864,250%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/VENU_d.png,reports/graphs/VENU_w.png
2026-03-16 09:33:25,AEYE,Audioeye Inc,Dir,P - Purchase,5.78,38000,207517,219%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/AEYE_d.png,reports/graphs/AEYE_w.png
2026-03-16 09:33:25,FG,"F&G Annuities & Life, Inc.",CEO,P - Purchase,20.99,10000,1107128,209%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/FG_d.png,reports/graphs/FG_w.png
2026-03-16 09:33:25,CPS,Cooper-Standard Holdings Inc.,Dir,P - Purchase,30.23,6885,25000,208%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/CPS_d.png,reports/graphs/CPS_w.png
2026-03-16 09:33:25,CRH,Crh Public Ltd Co,Dir,P - Purchase,102.11,2000,7550,204%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/CRH_d.png,reports/graphs/CRH_w.png
2026-03-16 09:33:25,GWRS,"Global Water Resources, Inc.",Dir,P - Purchase,7.2,18305,2603134,131%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/GWRS_d.png,reports/graphs/GWRS_w.png
2026-03-16 09:33:25,ALTG,Alta Equipment Group Inc.,10%,P - Purchase,6.36,18040,4311248,114%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/ALTG_d.png,reports/graphs/ALTG_w.png
2026-03-16 09:33:25,BBBY,"Bed Bath & Beyond, Inc.",Dir,P - Purchase,5.11,20000,178715,102%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/BBBY_d.png,reports/graphs/BBBY_w.png
2026-03-16 09:33:25,ALKT,"Alkami Technology, Inc.",Dir,P - Purchase,18.23,5500,26628,100%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/ALKT_d.png,reports/graphs/ALKT_w.png
2026-03-16 09:33:25,KOS,Kosmos Energy Ltd.,Dir,P - Purchase,1.9,52631,207620,99%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/KOS_d.png,reports/graphs/KOS_w.png
2026-03-16 09:33:25,FG,"F&G Annuities & Life, Inc.",Dir,P - Purchase,20.98,4760,32071,99%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/FG_d.png,reports/graphs/FG_w.png
2026-03-16 09:33:25,ALIT,"Alight, Inc. / Delaware",CEO,P - Purchase,0.89,112000,1134883,99%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/ALIT_d.png,reports/graphs/ALIT_w.png
2026-03-16 09:33:25,SRE,Sempra,Dir,P - Purchase,93.44,1000,1000,93%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/SRE_d.png,reports/graphs/SRE_w.png
2026-03-16 09:33:25,TCBI,Texas Capital Bancshares Inc/Tx,Dir,P - Purchase,91.5,1000,6671,91%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/TCBI_d.png,reports/graphs/TCBI_w.png
2026-03-16 09:33:25,DIN,"Dine Brands Global, Inc.",Dir,P - Purchase,28.5,3000,31469,85%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/DIN_d.png,reports/graphs/DIN_w.png
2026-03-16 09:33:25,MPB,Mid Penn Bancorp Inc,Dir,P - Purchase,30.86,2590,121237,79%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/MPB_d.png,reports/graphs/MPB_w.png
2026-03-16 09:33:25,ACOG,Alpha Cognition Inc.,10%,P - Purchase,5.79,13066,2524012,75%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/ACOG_d.png,reports/graphs/ACOG_w.png
2026-03-16 09:33:25,TFSL,Tfs Financial Corp,Dir,P - Purchase,13.37,5000,49314,66%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/TFSL_d.png,reports/graphs/TFSL_w.png
2026-03-16 09:33:25,STC,Stewart Information Services Corp,Dir,P - Purchase,62.76,1000,22243,62%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/STC_d.png,reports/graphs/STC_w.png
2026-03-16 09:33:25,TIPT,Tiptree Inc.,CFO,P - Purchase,16.1,3832,103939,61%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/TIPT_d.png,reports/graphs/TIPT_w.png
2026-03-16 09:33:25,BLMN,"Bloomin' Brands, Inc.",Dir,P - Purchase,5.69,10000,30156,56%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/BLMN_d.png,reports/graphs/BLMN_w.png
2026-03-16 09:33:25,MYO,"Myomo, Inc.",Dir,P - Purchase,0.73,70000,111754,50%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/MYO_d.png,reports/graphs/MYO_w.png
2026-03-16 09:33:25,WES,"Western Midstream Partners, LP",Dir,P - Purchase,40.19,1250,5296,50%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/WES_d.png,reports/graphs/WES_w.png
2026-03-16 09:33:25,ANNX,"Annexon, Inc.",Dir,P - Purchase,5.67,8000,62405,45%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/ANNX_d.png,reports/graphs/ANNX_w.png
2026-03-16 09:33:25,FFIN,First Financial Bankshares Inc,Dir,P - Purchase,29.18,1500,33646,43%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/FFIN_d.png,reports/graphs/FFIN_w.png
2026-03-16 09:33:25,THRY,"Thryv Holdings, Inc.","COB, CEO",P - Purchase,2.91,15000,2400955,43%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/THRY_d.png,reports/graphs/THRY_w.png
2026-03-16 09:33:25,DYN,"Dyne Therapeutics, Inc.",Dir,P - Purchase,19.35,2000,13500,38%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/DYN_d.png,reports/graphs/DYN_w.png
2026-03-16 09:33:25,HGTY,"Hagerty, Inc.",Dir,P - Purchase,9.5,4000,47277,38%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/HGTY_d.png,reports/graphs/HGTY_w.png
2026-03-16 09:33:25,BJRI,Bjs Restaurants Inc,Dir,P - Purchase,34.05,1000,34747,34%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/BJRI_d.png,reports/graphs/BJRI_w.png
2026-03-16 09:33:25,JBHT,Hunt J B Transport Services Inc,"EVP of Sales, Marketing",P - Purchase,155.65,205,20480,31%,OpenInsider.com,2026-03-16 09:33:25,reports/graphs/JBHT_d.png,reports/graphs/JBHT_w.png
