ticker,company_name,source,sector,bullish_count,bearish_count,net_signals,net_score,bias,top_bullish_signal,top_bearish_signal,most_recent_signal,generated_at
LRLCY,L'Oreal Co.,value_us,Consumer Defensive,1,1,0,-1,NEUTRAL,Tendencia Alcista HH/HL,Death Cross,Tendencia Alcista HH/HL,2026-04-16 07:39
DB1.DE,DEUTSCHE BOERSE AG            N,portfolio,Financial Services,4,6,-2,-1,NEUTRAL,Golden Cross,Bearish Engulfing,Precio sobre MA50,2026-04-16 07:39
TOTS3.SA,TOTVS S.A.,value_global,Technology,4,4,0,-2,NEUTRAL,Bullish Engulfing,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
DHR,Danaher Corporation,value_us,Healthcare,2,4,-2,-2,NEUTRAL,Bullish Engulfing,Cerca de Mínimo 52s,Toque Banda Superior BB,2026-04-16 07:39
MSFT,Microsoft Corporation,portfolio,Technology,3,4,-1,-2,NEUTRAL,Tendencia Alcista HH/HL,Precio bajo MA50,Precio sobre MA50,2026-04-16 07:39
AHT.L,ASHTEAD GROUP PLC ORD 10P,portfolio,Industrials,7,9,-2,-2,NEUTRAL,RSI Sobrevendido,Precio bajo MA200,Precio bajo MA50,2026-04-16 07:39
NESN.SW,NESTLE N,portfolio,Consumer Defensive,2,4,-2,-2,NEUTRAL,Bullish Engulfing,Cerca de Mínimo 52s,Cerca de Mínimo 52s,2026-04-16 07:39
V,Visa Inc.,portfolio,Financial Services,5,6,-1,-2,NEUTRAL,Divergencia RSI Alcista,Bearish Engulfing,Precio sobre MA50,2026-04-16 07:39
COST,Costco Wholesale Corporation,portfolio,Consumer Defensive,4,4,0,-2,NEUTRAL,Rebote MA50,Evening Star,MACD Histograma Cayendo,2026-04-16 07:39
AZO,"AutoZone, Inc.",portfolio,Consumer Cyclical,1,3,-2,-2,NEUTRAL,Tendencia Alcista HH/HL,Cerca de Mínimo 52s,Toque Banda Superior BB,2026-04-16 07:39
DELL,Dell Technologies Inc.,portfolio,Technology,4,5,-1,-2,NEUTRAL,Precio sobre MA50,Evening Star,Precio sobre MA50,2026-04-16 07:39
BBY,"Best Buy Co., Inc.",portfolio,Consumer Cyclical,2,3,-1,-2,NEUTRAL,Squeeze Bollinger,Bearish Engulfing,Squeeze Bollinger,2026-04-16 07:39
MC.PA,LVMH,portfolio,Consumer Cyclical,4,4,0,-2,NEUTRAL,Divergencia RSI Alcista,Precio bajo MA200,Divergencia RSI Alcista,2026-04-16 07:39
BX,Blackstone Inc.,portfolio,Financial Services,3,5,-2,-3,NEUTRAL,Precio sobre MA50,Bearish Engulfing,Precio sobre MA50,2026-04-16 07:39
SPGI,S&P Global Inc.,portfolio,Financial Services,1,2,-1,-3,NEUTRAL,Precio sobre MA50,Precio bajo MA50,Precio sobre MA50,2026-04-16 07:39
EXP,Eagle Materials Inc,portfolio,Basic Materials,1,2,-1,-3,NEUTRAL,Tendencia Alcista HH/HL,Evening Star,Evening Star,2026-04-16 07:39
EXPN.L,EXPERIAN PLC ORD USD0.10,portfolio,Industrials,6,6,0,-3,NEUTRAL,Bullish Engulfing,Precio bajo MA200,Precio sobre MA50,2026-04-16 07:39
9999.HK,"NetEase, Inc.",value_global,Communication Services,2,3,-1,-3,NEUTRAL,Precio sobre MA50,Precio bajo MA50,Precio sobre MA50,2026-04-16 07:39
CRH.L,CRH PLC ORD EUR 0.32 (DI),portfolio,Basic Materials,4,4,0,-3,NEUTRAL,Rebote MA50,Death Cross,Precio sobre MA50,2026-04-16 07:39
PRX.AS,PROSUS,portfolio,Consumer Cyclical,3,5,-2,-3,NEUTRAL,Bullish Engulfing,Precio bajo MA200,Precio sobre MA50,2026-04-16 07:39
AUTO.L,AUTOTRADER GROUP PLC ORD 1P,value_us,Communication Services,7,8,-1,-3,NEUTRAL,Divergencia RSI Alcista,Precio bajo MA200,Precio sobre MA50,2026-04-16 07:39
SAP.DE,SAP SE                        I,portfolio,Technology,6,6,0,-3,NEUTRAL,Bullish Engulfing,Precio bajo MA200,Precio bajo MA50,2026-04-16 07:39
GEBN.SW,GEBERIT N,value_eu,Industrials,3,5,-2,-3,NEUTRAL,Divergencia RSI Alcista,Bearish Engulfing,Divergencia RSI Alcista,2026-04-16 07:39
ENR,"Energizer Holdings, Inc.",portfolio,Industrials,2,5,-3,-4,BEARISH,Bullish Engulfing,Precio bajo MA200,Toque Banda Superior BB,2026-04-16 07:39
4661.T,"Oriental Land Co., Ltd.",value_global,Consumer Cyclical,4,5,-1,-4,BEARISH,Divergencia RSI Alcista,Precio bajo MA200,Cerca de Mínimo 52s,2026-04-16 07:39
WKL.AS,WOLTERS KLUWER,value_eu,Industrials,6,6,0,-4,BEARISH,Bullish Engulfing,Precio bajo MA200,Precio sobre MA50,2026-04-16 07:39
DSGX,The Descartes Systems Group Inc,value_us,Technology,4,5,-1,-4,BEARISH,Divergencia RSI Alcista,Precio bajo MA200,Precio sobre MA50,2026-04-16 07:39
DSY.PA,DASSAULT SYSTEMES,portfolio,Technology,5,7,-2,-4,BEARISH,Bullish Engulfing,Precio bajo MA200,Precio sobre MA50,2026-04-16 07:39
IT,"Gartner, Inc.",portfolio,Technology,6,6,0,-4,BEARISH,Divergencia RSI Alcista,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
9988.HK,Alibaba Group Holding Limited,value_global,Consumer Cyclical,3,5,-2,-4,BEARISH,Divergencia RSI Alcista,Death Cross,Divergencia RSI Alcista,2026-04-16 07:39
PGR,Progressive Corporation (The),value_us,Financial Services,3,5,-2,-4,BEARISH,MACD Cruce Alcista,Tendencia Bajista LH/LL,MACD Cruce Alcista,2026-04-16 07:39
OTIS,Otis Worldwide Corporation,value_us,Industrials,0,2,-2,-4,BEARISH,,Cerca de Mínimo 52s,Cerca de Mínimo 52s,2026-04-16 07:39
EXE,Expand Energy Corporation,portfolio,Energy,5,6,-1,-4,BEARISH,Rebote MA50,Precio bajo MA50,Precio bajo MA50,2026-04-16 07:39
CMG,"Chipotle Mexican Grill, Inc.",portfolio,Consumer Cyclical,4,6,-2,-4,BEARISH,Bullish Engulfing,Death Cross,Toque Banda Superior BB,2026-04-16 07:39
WTKWY,Wolters Kluwer N.V.,portfolio,Industrials,6,6,0,-5,BEARISH,Morning Star,Precio bajo MA200,Precio sobre MA50,2026-04-16 07:39
AON,Aon plc,portfolio,Financial Services,2,3,-1,-5,BEARISH,Precio sobre MA50,Evening Star,Precio sobre MA50,2026-04-16 07:39
HEI,Heico Corporation,value_us,Industrials,1,3,-2,-5,BEARISH,Divergencia RSI Alcista,Bearish Engulfing,Divergencia RSI Alcista,2026-04-16 07:39
OR.PA,L'OREAL,value_eu,Consumer Defensive,2,4,-2,-5,BEARISH,Golden Cross,Death Cross,Tendencia Alcista HH/HL,2026-04-16 07:39
7733.T,Olympus Corporation,value_global,Healthcare,3,4,-1,-5,BEARISH,Rebote MA50,Bearish Engulfing,Precio sobre MA50,2026-04-16 07:39
ADSK,"Autodesk, Inc.",portfolio,Technology,2,5,-3,-5,BEARISH,Bullish Engulfing,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
KO,Coca-Cola Company (The),value_us,Consumer Defensive,3,7,-4,-5,BEARISH,Squeeze Bollinger,Evening Star,MACD Cruce Bajista,2026-04-16 07:39
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",value_global,Financial Services,2,5,-3,-6,BEARISH,Pullback Volumen Seco,Bearish Engulfing,Pullback Volumen Seco,2026-04-16 07:39
BMY,Bristol-Myers Squibb Company,portfolio,Healthcare,2,5,-3,-6,BEARISH,Precio sobre MA50,Bearish Engulfing,MACD Histograma Cayendo,2026-04-16 07:39
RMV.L,RIGHTMOVE PLC ORD 0.1P,portfolio,Communication Services,5,7,-2,-6,BEARISH,Bullish Engulfing,Precio bajo MA200,Precio sobre MA50,2026-04-16 07:39
4568.T,"Daiichi Sankyo Company, Limited",value_global,Healthcare,4,5,-1,-6,BEARISH,MACD Cruce Alcista,Evening Star,Precio sobre MA50,2026-04-16 07:39
SUNS,"Sunrise Realty Trust, Inc.",portfolio,Real Estate,2,4,-2,-6,BEARISH,MACD Histograma Creciente,Cerca de Mínimo 52s,MACD Histograma Creciente,2026-04-16 07:39
7974.T,"Nintendo Co., Ltd.",value_global,Communication Services,3,5,-2,-7,BEARISH,Divergencia RSI Alcista,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
IMB.L,IMPERIAL BRANDS PLC ORD 10P,portfolio,Consumer Defensive,5,9,-4,-7,BEARISH,RSI Sobrevendido,Precio bajo MA50,Precio bajo MA50,2026-04-16 07:39
CLPBY,Coloplast AS,value_us,Healthcare,4,7,-3,-7,BEARISH,Divergencia RSI Alcista,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
BR,"Broadridge Financial Solutions,",portfolio,Technology,3,5,-2,-7,BEARISH,MACD Cruce Alcista,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
SYK,Stryker Corporation,value_us,Healthcare,0,3,-3,-7,BEARISH,,Evening Star,Evening Star,2026-04-16 07:39
QIA.DE,Qiagen N.V.                   A,portfolio,Healthcare,3,6,-3,-8,BEARISH,Squeeze Bollinger,Death Cross,Precio bajo MA50,2026-04-16 07:39
NOVO-B.CO,Novo Nordisk B A/S,value_eu,Healthcare,4,7,-3,-8,BEARISH,Pullback Volumen Seco,Precio bajo MA200,Precio sobre MA50,2026-04-16 07:39
ROL,"Rollins, Inc.",value_us,Consumer Cyclical,1,4,-3,-8,BEARISH,Squeeze Bollinger,Death Cross,Squeeze Bollinger,2026-04-16 07:39
ABT,Abbott Laboratories,value_us,Healthcare,2,5,-3,-8,BEARISH,MACD Histograma Creciente,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
TYL,"Tyler Technologies, Inc.",value_us,Technology,3,5,-2,-8,BEARISH,MACD Cruce Alcista,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
ROP,"Roper Technologies, Inc.",value_us,Technology,6,6,0,-8,BEARISH,MACD Cruce Alcista,Precio bajo MA200,Precio sobre MA50,2026-04-16 07:39
VEEV,Veeva Systems Inc.,value_us,Healthcare,2,5,-3,-8,BEARISH,Divergencia RSI Alcista,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
HESAY,Hermes International SA,value_us,Consumer Cyclical,1,5,-4,-9,BEARISH,RSI Zona Baja,Precio bajo MA200,Precio bajo MA50,2026-04-16 07:39
ADS.DE,adidas AG                     N,portfolio,Consumer Cyclical,4,8,-4,-9,BEARISH,Divergencia RSI Alcista,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
COLO-B.CO,Coloplast B A/S,value_eu,Healthcare,2,6,-4,-9,BEARISH,Divergencia RSI Alcista,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
DGE.L,DIAGEO PLC ORD 28 101/108P,portfolio,Consumer Defensive,2,5,-3,-9,BEARISH,Tendencia Alcista HH/HL,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
CPRT,"Copart, Inc.",portfolio,Industrials,3,7,-4,-10,BEARISH,Bullish Engulfing,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
BRO,"Brown & Brown, Inc.",portfolio,Financial Services,4,7,-3,-10,BEARISH,Pullback Volumen Seco,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
G24.DE,Scout24 SE                    N,value_us,Communication Services,1,5,-4,-10,BEARISH,RSI Zona Baja,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
ADP,"Automatic Data Processing, Inc.",portfolio,Technology,2,7,-5,-11,BEARISH,Divergencia RSI Alcista,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
JKHY,"Jack Henry & Associates, Inc.",portfolio,Technology,1,6,-5,-11,BEARISH,Doji en Caída,Evening Star,Tendencia Bajista LH/LL,2026-04-16 07:39
DPZ,Domino's Pizza Inc,portfolio,Consumer Cyclical,1,7,-6,-11,BEARISH,Pullback Volumen Seco,Evening Star,Pullback Volumen Seco,2026-04-16 07:39
ZTS,Zoetis Inc.,value_us,Healthcare,2,7,-5,-11,BEARISH,Pullback Volumen Seco,Bearish Engulfing,Toque Banda Superior BB,2026-04-16 07:39
FICO,Fair Isaac Corporation,value_us,Technology,3,6,-3,-11,BEARISH,MACD Histograma Creciente,Precio bajo MA200,Precio bajo MA50,2026-04-16 07:39
MKC,"McCormick & Company, Incorporat",value_us,Consumer Defensive,1,5,-4,-11,BEARISH,RSI Zona Baja,Precio bajo MA200,Precio bajo MA50,2026-04-16 07:39
INTU,Intuit Inc.,value_us,Technology,1,5,-4,-11,BEARISH,RSI Zona Baja,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
HEIA.AS,HEINEKEN,value_eu,Consumer Defensive,0,6,-6,-11,BEARISH,,Precio bajo MA200,Cerca de Mínimo 52s,2026-04-16 07:39
DXCM,"DexCom, Inc.",portfolio,Healthcare,3,8,-5,-12,BEARISH,Divergencia RSI Alcista,Bearish Engulfing,Precio bajo MA50,2026-04-16 07:39
ACN,Accenture plc,portfolio,Technology,2,8,-6,-15,BEARISH,MACD Histograma Creciente,Precio bajo MA200,Precio bajo MA200,2026-04-16 07:39
RMS.PA,HERMES INTL,portfolio,Consumer Cyclical,4,9,-5,-15,BEARISH,Divergencia RSI Alcista,Precio bajo MA200,Precio bajo MA50,2026-04-16 07:39
