ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at
ERIE,Erie Indemnity Company,48.2,⚠️ WEAK,🔴 Weak,50.0,30.0,36.0,90.0,50.0,15,4.1,False,down,-54.2,False,0,-72.6,False,0,"{'eps_growth_yoy': -54.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 13.8}","{'revenue_growth_yoy': -72.6, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -8.5, 'rs_6m': -19.7, 'rs_line_percentile': 4.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 26.2, 'debt_to_equity': 0.03, 'current_ratio': 1.27, 'operating_margin_pct': 17.2}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",248.54,12996123648,Financial Services,Insurance Brokers,8.9,10.3,True,434.0,-42.7,0.0,False,,,,,none,,159.25,-35.9,106.9,-57.0,3.85,10.82,2.35,52.0,5.85,1.77,False,,,-29.2,15.0,2026-04-23,False,True,4,NEUTRAL,,,,2026-04-08T10:19:17.467871
DUK,Duke Energy Corporation (Holdin,47.8,⚠️ WEAK,🔴 Weak,50.0,30.0,63.9,50.0,50.0,60,54.9,False,up,-14.3,False,0,-3.8,False,0,"{'eps_growth_yoy': -14.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 15.6}","{'revenue_growth_yoy': -3.8, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 17.4, 'rs_6m': 9.1, 'rs_line_percentile': 54.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 9.7, 'debt_to_equity': 1.72, 'current_ratio': 0.55, 'operating_margin_pct': 28.1}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 5.6}",131.82,102584532992,Utilities,Utilities - Regulated Electric,2.3,3.2,False,134.49,-2.0,6.0,False,139.24,146.0,130.0,17.0,none,5.6,,,63.1,-52.1,-1.95,-2.57,3.23,66.9,4.26,3.84,False,,2.6,-1.1,27.0,2026-05-05,False,False,8,STRONG,4.78,7.1,,2026-04-08T10:15:14.167252
EXC,Exelon Corporation,47.7,⚠️ WEAK,🔴 Weak,50.0,30.0,58.7,50.0,60.0,35,49.2,False,up,-34.6,False,0,-19.4,False,0,"{'eps_growth_yoy': -34.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 11.4}","{'revenue_growth_yoy': -19.4, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 17.3, 'rs_6m': 10.5, 'rs_line_percentile': 49.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 9.9, 'debt_to_equity': 1.74, 'current_ratio': 0.92, 'operating_margin_pct': 21.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 4.8}",49.05,50186739712,Utilities,Utilities - Regulated Electric,4.4,4.3,False,50.65,-3.2,6.0,False,51.41,58.0,44.0,17.0,buy,4.8,,,27.3,-44.3,-4.23,-2.08,3.43,58.6,1.68,3.48,False,,2.5,-6.5,28.0,2026-05-06,False,False,6,NEUTRAL,5.43,6.4,,2026-04-08T10:15:19.530326
GIS,"General Mills, Inc.",47.3,⚠️ WEAK,🔴 Weak,80.0,30.0,24.0,40.0,50.0,15,1.4,False,down,3.1,True,1,-2.6,False,0,"{'eps_growth_yoy': 3.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 12.1}","{'revenue_growth_yoy': -2.6, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -10.4, 'rs_6m': -23.4, 'rs_line_percentile': 1.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 23.6, 'debt_to_equity': 2.18, 'current_ratio': 0.56, 'operating_margin_pct': 19.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 11.1}",36.8,19639468032,Consumer Defensive,Packaged Foods,9.1,4.5,True,59.21,-37.8,0.0,False,40.89,57.0,32.0,19.0,hold,11.1,62.4,69.6,40.9,11.1,11.52,4.24,6.63,59.4,2.44,3.55,True,-4.08,10.4,-5.8,77.0,2026-06-24,False,False,5,NEUTRAL,15.0,83.9,,2026-04-08T10:19:06.680191
ENR,"Energizer Holdings, Inc.",46.2,⚠️ WEAK,🔴 Weak,38.0,60.0,24.0,60.0,60.0,15,2.1,False,down,-112.0,False,0,17.5,False,0,"{'eps_growth_yoy': -112.0, 'positive_quarters': 3, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 7.1}","{'revenue_growth_yoy': 17.5, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -11.7, 'rs_6m': -27.5, 'rs_line_percentile': 2.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 151.3, 'debt_to_equity': 24.24, 'current_ratio': 1.99, 'operating_margin_pct': 8.6}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 37.7}",16.7,1145129344,Industrials,Electrical Equipment & Parts,10.4,5.4,True,30.29,-44.9,0.0,False,23.0,28.0,18.0,6.0,none,37.7,43.79,162.2,29.4,76.0,15.35,2.57,7.19,40.4,1.2,4.0,True,-2.76,2.6,,27.0,2026-05-05,False,False,6,NEUTRAL,10.07,31.8,0.33,2026-04-08T10:22:12.172281
GPN,Global Payments Inc.,45.5,⚠️ WEAK,🔴 Weak,50.0,30.0,24.0,75.0,70.0,15,0.0,False,down,-40.8,False,0,-19.9,False,0,"{'eps_growth_yoy': -40.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 18.2}","{'revenue_growth_yoy': -19.9, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -13.9, 'rs_6m': -26.3, 'rs_line_percentile': 0.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 4.8, 'debt_to_equity': 0.93, 'current_ratio': 1.69, 'operating_margin_pct': 27.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 58.3}",62.7,17549811712,Industrials,Specialty Business Services,4.6,2.4,False,90.96,-31.1,0.0,False,99.24,194.0,64.0,25.0,buy,58.3,93.48,49.1,44.3,-29.3,9.96,6.35,1.59,22.6,1.0,0.9,True,-7.01,3.0,-41.4,27.0,2026-05-05,False,False,5,NEUTRAL,5.91,28.7,,2026-04-08T10:17:36.348623
ALG,"Alamo Group, Inc.",45.2,⚠️ WEAK,🔴 Weak,45.0,30.0,36.0,70.0,65.0,15,15.0,False,down,-51.2,False,0,-4.4,False,0,"{'eps_growth_yoy': -51.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 6.5}","{'revenue_growth_yoy': -4.4, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -3.5, 'rs_6m': -9.3, 'rs_line_percentile': 15.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 9.6, 'debt_to_equity': 0.19, 'current_ratio': 4.57, 'operating_margin_pct': 6.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 23.3}",168.2,2046767360,Industrials,Farm & Heavy Construction Machinery,5.6,3.0,False,233.29,-27.9,0.0,False,207.4,225.0,190.0,5.0,buy,23.3,144.18,-14.3,86.1,-48.8,5.83,9.8,0.76,14.0,1.28,0.5,True,-0.15,10.4,-45.0,29.0,2026-05-07,False,False,6,NEUTRAL,7.92,15.3,,2026-04-08T10:28:12.848976
CAG,"ConAgra Brands, Inc.",45.1,⚠️ WEAK,🔴 Weak,48.0,50.0,36.0,40.0,50.0,15,2.3,False,down,-22.0,True,1,0.2,False,0,"{'eps_growth_yoy': -22.0, 'positive_quarters': 3, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': -0.4}","{'revenue_growth_yoy': 0.2, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -1.8, 'rs_6m': -12.6, 'rs_line_percentile': 2.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': -0.5, 'debt_to_equity': 0.9, 'current_ratio': 0.9, 'operating_margin_pct': 10.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 7.4}",15.49,7410991616,Consumer Defensive,Packaged Foods,10.7,2.8,True,26.34,-41.2,0.0,False,16.64,23.0,14.0,17.0,hold,7.4,58.03,274.6,,,8.83,1.37,9.04,79.1,1.4,4.73,True,-0.21,1.4,15.6,92.0,2026-07-09,False,False,6,NEUTRAL,10.73,55.6,0.23,2026-04-08T10:19:54.479378
CNC,Centene Corporation,44.7,⚠️ WEAK,🔴 Weak,40.0,50.0,36.0,50.0,55.0,15,17.3,False,down,-184.0,True,1,6.7,False,0,"{'eps_growth_yoy': -184.0, 'positive_quarters': 1, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': -3.8}","{'revenue_growth_yoy': 6.7, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -16.2, 'rs_6m': -2.2, 'rs_line_percentile': 17.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': -28.7, 'debt_to_equity': 0.91, 'current_ratio': 1.1, 'operating_margin_pct': -1.9}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 18.9}",36.31,17856260096,Healthcare,Healthcare Plans,2.7,2.0,False,64.15,-43.4,3.0,False,43.18,70.0,32.0,17.0,hold,18.9,339.56,835.2,,,28.3,10.28,,,,,True,-2.66,-8.9,,20.0,2026-04-28,False,True,4,NEUTRAL,-38.29,-100.4,0.25,2026-04-08T10:21:13.909673
THRY,"Thryv Holdings, Inc.",42.5,⚠️ WEAK,🔴 Weak,50.0,50.0,15.0,40.0,60.0,15,6.3,False,down,,False,0,5.7,False,0,"{'positive_quarters': 2, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 0.0}","{'revenue_growth_yoy': 5.7, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -46.1, 'rs_6m': -73.7, 'rs_line_percentile': 6.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 0.1, 'debt_to_equity': 1.2, 'current_ratio': 1.0, 'operating_margin_pct': 1.9}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 57.7}",2.96,130728472,Technology,Software - Application,9.8,1.5,True,15.49,-80.9,1.0,False,4.67,6.0,4.0,3.0,hold,57.7,22.6,663.5,0.1,-96.6,51.9,1.54,,,,,True,-3.82,1.5,,22.0,2026-04-30,False,False,6,NEUTRAL,13.81,101.8,0.01,2026-04-08T10:27:40.923147
BLDR,"Builders FirstSource, Inc.",40.8,⚠️ WEAK,🔴 Weak,45.0,30.0,15.0,65.0,70.0,15,0.0,False,down,-67.3,False,0,-8.2,False,0,"{'eps_growth_yoy': -67.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 2.9}","{'revenue_growth_yoy': -8.2, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -24.6, 'rs_6m': -36.6, 'rs_line_percentile': 0.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 10.1, 'debt_to_equity': 1.17, 'current_ratio': 1.86, 'operating_margin_pct': 1.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 59.9}",78.93,8730058752,Industrials,Building Products & Equipment,8.1,2.4,True,151.03,-47.7,0.0,False,126.24,150.0,93.0,21.0,buy,59.9,85.38,8.2,38.9,-50.7,7.15,5.8,,,,,True,-4.74,2.9,-58.0,22.0,2026-04-30,False,False,5,NEUTRAL,5.76,18.8,,2026-04-08T10:21:34.546621
