ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at,micro_cap_score,micro_cap_quality,ai_verdict,ai_confidence,ai_reasoning
PERI,Perion Network Ltd,64.3,⭐⭐ GOOD,🟡 Good,50.0,90.0,50.3,65.0,70.0,35,40.7,False,up,,,0,53.5,True,1,{'profit_margin_pct': -1.8},"{'revenue_growth_yoy': 53.5, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 8.8, 'rs_6m': 3.1, 'rs_line_percentile': 40.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': -1.1, 'debt_to_equity': 0.03, 'current_ratio': 2.76, 'operating_margin_pct': 7.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 43.9}",9.8165,405449792,Communication Services,Internet Content & Information,1.5,1.3,False,11.79,-16.7,4,False,14.12,14.5,14.0,4.0,buy,43.9,46.86,377.4,,,10.72,1.1,,,,,True,-17.56,-3.9,77.1,40.0,2026-05-13,False,False,4,NEUTRAL,-4.5,-1.2,0.09,2026-04-02T17:36:50.946296,78.1,FUERTE,BUY,80,"moderate coverage (4), strong upside (44%)"
THRY,"Thryv Holdings, Inc.",42.5,⚠️ WEAK,🔴 Weak,50.0,50.0,15.0,40.0,60.0,15,5.7,False,down,,,0,5.7,False,0,{'profit_margin_pct': 0.0},"{'revenue_growth_yoy': 5.7, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -46.1, 'rs_6m': -74.5, 'rs_line_percentile': 5.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 0.1, 'debt_to_equity': 1.2, 'current_ratio': 1.0, 'operating_margin_pct': 1.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 67.0}",2.845,125649496,Technology,Software - Application,9.8,1.5,True,15.49,-81.6,1,False,4.75,6.0,4.0,4.0,none,67.0,22.6,694.4,0.1,-96.5,54.0,1.54,,,,,True,-3.98,1.5,,27.0,2026-04-30,False,False,6,NEUTRAL,13.91,101.8,0.01,2026-04-02T17:37:38.405066,69.0,BUENA,BUY,70,"moderate coverage (4), strong upside (67%)"
RSKD,Riskified Ltd.,60.7,⭐⭐ GOOD,🟡 Good,50.0,90.0,36.0,60.0,70.0,15,5.3,False,down,,,0,20.6,True,2,{'profit_margin_pct': -8.0},"{'revenue_growth_yoy': 20.6, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -12.4, 'rs_6m': -13.0, 'rs_line_percentile': 5.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': -8.1, 'debt_to_equity': 0.08, 'current_ratio': 5.03, 'operating_margin_pct': 0.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 37.7}",4.03,661144064,Technology,Software - Application,1.6,1.7,False,5.68,-29.0,0,False,5.55,7.0,4.5,5.0,buy,37.7,4.56,13.2,,,6.71,0.27,,,,,True,-16.07,-27.2,,40.0,2026-05-13,False,False,5,NEUTRAL,-10.83,-10.7,0.24,2026-04-02T17:37:52.227156,68.7,BUENA,BUY,80,"good coverage (5), strong upside (38%)"
