ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date
012330.KS,"Hyundai Mobis Co.,Ltd",415500.0,KRW,52.0,B,52.0,P/E 7.8x | Potencial +33% analistas | Dividendo 1.6%,0,0,Consumer Cyclical,Korea,🇰🇷,21.2,554133.3,33.4,30,3.0,4.17,1.6,,7.7,7.8,,6.0,4.7,-21.8,,,,,2026-04-15
105560.KS,KB Financial Group Inc.,158200.0,KRW,50.0,B,50.0,P/E 8.4x | Potencial +15% | Crecimiento ingresos +32% | Margen 37% | Dividendo 4.1%,1,0,Financial Services,Korea,🇰🇷,21.2,182263.16,15.2,19,,1.9,4.12,,9.7,8.4,,36.7,31.8,-8.3,FCF no comparable (sector financiero),,,,2026-04-15
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",19.68,BRL,47.0,C,47.0,ROE 25.6% | Margen 46% | Dividendo 3.1% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,19.18,-2.5,14,,-0.32,3.08,,25.6,16.1,23.7,45.5,10.5,-0.3,FCF no comparable (sector financiero),,,,2026-04-15
7203.T,Toyota Motor Corporation,3381.0,JPY,46.0,C,46.0,P/E 10.4x (vs 16x mercado) | Potencial +18% | FCF negativo | Dividendo 2.9% | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Consumer Cyclical,Japan,🇯🇵,29.4,3992.32,18.1,17,-0.1,2.26,2.86,,10.0,10.4,11.9,7.3,8.6,-15.5,,TM,,,2026-04-15
7733.T,Olympus Corporation,1614.5,JPY,44.0,C,44.0,P/E 12.9x | Potencial +12% | Dividendo 1.9% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Healthcare,Japan,🇯🇵,29.4,1803.85,11.7,13,0.6,1.47,1.89,,11.2,12.9,18.7,8.6,3.9,-25.5,,,,,2026-04-15
9988.HK,Alibaba Group Holding Limited,128.6,HKD,44.0,C,44.0,Potencial +44% analistas | FCF negativo | Mercado HongKong CAPE 11 (33% descuento histórico),2,1,Consumer Cyclical,HongKong,🇭🇰,10.7,185.17,44.0,28,-1.1,5.5,,,8.2,16.5,23.2,8.9,1.7,-30.9,,BABA,,,2026-04-15
RENT3.SA,Localiza Rent a Car S.A.,50.99,BRL,42.0,C,42.0,Potencial +15% | FCF yield 11.5% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,58.45,14.6,15,11.5,1.83,4.1,,7.2,10.2,27.7,4.5,11.7,-3.8,,,,,2026-04-15
9432.T,"NTT, Inc.",154.0,JPY,42.0,C,42.0,P/E 10.6x (vs 16x mercado) | Potencial +14% | FCF negativo | Dividendo 3.5% | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Communication Services,Japan,🇯🇵,29.4,175.64,14.1,14,-3.5,1.76,3.48,,10.7,10.6,12.3,7.6,5.5,-7.9,Deuda elevada (D/E >2x),,,,2026-04-15
9983.T,"Fast Retailing Co., Ltd.",74310.0,JPY,42.0,C,42.0,ROE 20.6% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Consumer Cyclical,Japan,🇯🇵,29.4,68764.29,-7.5,14,2.1,-0.93,0.78,,20.6,54.3,47.7,13.1,14.8,-1.7,,,,,2026-04-15
WEGE3.SA,WEG S.A.,51.9,BRL,39.0,C,39.0,ROE 32.5% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,54.47,5.0,14,1.8,0.62,4.14,,32.5,26.5,34.1,15.6,-5.3,-4.8,Ingresos en declive YoY,WEGZY,,,2026-04-15
6758.T,Sony Group Corporation,3340.0,JPY,39.0,C,39.0,Potencial +45% analistas | FCF negativo | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Technology,Japan,🇯🇵,29.4,4830.0,44.6,23,-0.4,5.58,0.67,,14.9,18.2,16.2,-1.6,0.5,-30.1,,SONY,,,2026-04-15
6367.T,"Daikin Industries,Ltd.",20250.0,JPY,39.0,C,39.0,Dividendo 1.6% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Industrials,Japan,🇯🇵,29.4,21805.09,7.7,16,,0.96,1.61,,9.3,20.4,21.7,5.7,7.9,-3.2,,,,,2026-04-15
4661.T,"Oriental Land Co., Ltd.",2636.5,JPY,39.0,C,39.0,Potencial +35% analistas | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Consumer Cyclical,Japan,🇯🇵,29.4,3553.7,34.8,13,,4.35,0.53,,,30.1,34.2,,2.9,-29.0,,,,,2026-04-15
8035.T,Tokyo Electron Limited,43500.0,JPY,38.0,C,38.0,ROE 26.5% | Margen 21% | Dividendo 1.4% | Mercado Japan CAPE 29 (26% descuento histórico),3,0,Technology,Japan,🇯🇵,29.4,47740.91,9.7,22,1.5,1.22,1.38,,26.5,34.0,37.0,21.1,-15.7,-6.7,Ingresos en declive YoY,,,,2026-04-15
ABEV3.SA,Ambev S.A.,15.89,BRL,35.0,C,35.0,ROE 17.0% | FCF yield 5.1% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Consumer Defensive,Brazil,🇧🇷,9.0,15.34,-3.4,18,5.1,-0.43,14.98,,17.0,14.1,16.1,17.6,-8.2,-5.2,Ingresos en declive YoY,ABEV,,,2026-04-15
