ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,ai_confirmation,ai_confidence,ai_reason,historical_win_rate,detected_date,rsi,rsi_tier,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,bounce_target,bounce_usd,bounce_pct,stop_pct,bounce_confidence,bounce_signals,consecutive_down_days,bb_pct_b,below_bb,stoch_k,volume_drying,rsi_weekly,weekly_oversold,cum_rsi2,connors_signal,atr14,hammer_candle,engulfing_candle,obv_divergence,market_regime,market_ok,vix,days_to_earnings,earnings_warning,short_interest_shares,short_days_to_cover,short_pct_float,squeeze_potential,finra_short_vol_pct,dark_pool_signal,conviction_tier,value_score,value_grade,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease,pcr,pcr_signal
SEI,"Solaris Energy Infrastructure,",Bull Flag Pullback,⭐ BUENA,60,61.01,$59.79 - $62.23,68.56,53.02,0.53,,,,71.7,2026-04-10,,,,,,,,65.28,4.27,7.0,-13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,-11.0,54.66,54.66,Bearish,False,,
HBIO,HBIO,Bull Flag Pullback,⭐ BUENA,60,5.37,$5.26 - $5.48,6.2,5.2,2.24,,,,71.7,2026-04-10,,,,,,,,5.75,0.38,7.1,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,-13.4,5.36,5.36,Bearish,False,,
ABSI,Absci,Bull Flag Pullback,⭐ BUENA,60,2.95,$2.89 - $3.01,3.35,2.69,0.81,,,,71.7,2026-04-10,,,,,,,,3.16,0.21,7.1,-8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,-11.9,2.77,2.77,Bearish,False,,
CPNG,CPNG,Bull Flag Pullback,⭐ BUENA,60,19.66,$19.27 - $20.05,21.97,18.32,1.03,,,,71.7,2026-04-10,,,,,,,,21.04,1.38,7.0,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,-10.5,18.89,18.89,Bearish,False,,
DSGR,DSGR,Bull Flag Pullback,⭐ BUENA,60,27.7,$27.15 - $28.25,31.12,26.56,1.7,,,,71.7,2026-04-10,,,,,,,,29.64,1.94,7.0,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2,-11.0,27.38,27.38,Bearish,False,,
PRHI,PRHI,Bull Flag Pullback,⭐ BUENA,60,0.76,$0.74 - $0.77,0.87,0.67,0.58,,,,71.7,2026-04-10,,,,,,,,0.81,0.05,7.1,-11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.3,-13.1,0.69,0.69,Bearish,False,,
PVLA,PVLA,Bull Flag Pullback,⭐ BUENA,60,130.2,$127.6 - $132.8,148.34,106.25,0.38,,,,71.7,2026-04-10,,,,,,,,139.31,9.11,7.0,-18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1,-12.2,109.54,109.54,Bearish,False,,
RDGL,Vivos,Bull Flag Pullback,⭐ BUENA,60,0.08,$0.08 - $0.08,0.09,0.08,6.1,,,,71.7,2026-04-10,,,,,,,,0.09,0.01,10.2,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,-12.0,0.08,0.08,Bearish,False,,
IHRT,IHRT,Bull Flag Pullback,⭐ BUENA,60,3.51,$3.44 - $3.58,3.91,3.03,0.52,,,,71.7,2026-04-10,,,,,,,,3.76,0.25,7.1,-13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,-10.2,3.13,3.13,Bearish,False,,
ONFO,"Onfolio,",Bull Flag Pullback,⭐ BUENA,60,0.66,$0.64 - $0.67,0.76,0.58,0.53,,,,71.7,2026-04-10,,,,,,,,0.7,0.04,6.7,-11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,-13.6,0.6,0.6,Bearish,False,,
GOGO,Gogo,Bull Flag Pullback,⭐ BUENA,60,4.6,$4.51 - $4.69,5.35,4.27,0.97,,,,71.7,2026-04-10,,,,,,,,4.92,0.32,7.0,-7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,-14.0,4.4,4.4,Bearish,False,,
IOR,"Income Opportunity Realty Investors,",Oversold Bounce,MODERADA,55,18.26,$17.54 - $18.26,19.0,17.73,1.4,,,,55.0,2026-04-10,29.1,MEDIO,-6.2,17.9,19.0,2.0,0.0,19.0,0.74,4.1,-2.9,45.0,"['CumRSI2=0', '✓ Mercado favorable']",0.0,59.9,False,83.3,False,60.0,False,0.0,True,0.11,False,False,False,ALCISTA,True,19.6,,False,,,,False,100.0,DISTRIBUTION,1.0,,,,,,,,,,
IRIX,IRIDEX,Oversold Bounce,MODERADA,55,1.04,$0.9 - $0.94,1.35,0.87,0.41,,,,55.0,2026-04-10,24.1,ALTO,-33.3,0.92,1.35,13.0,0.35,1.11,0.07,6.7,-16.3,59.0,"['RSI muy bajo', 'Stoch oversold', 'Vol secándose', '✓ Mercado favorable', 'DP acumulación (37%)']",0.0,28.8,False,19.1,True,44.8,False,200.0,False,0.1,False,False,False,ALCISTA,True,19.6,,False,47428.0,1.763647,,False,37.2,ACCUMULATION,1.0,,,,,,,,,0.0,
CING,Cingulate,Oversold Bounce,MODERADA,55,5.96,$3.49 - $3.63,7.7,3.38,0.16,,,,55.0,2026-04-10,25.1,MEDIO,-48.9,3.56,7.7,67.4,0.34,6.38,0.42,7.0,-43.3,35.0,"['Stoch oversold', '✓ Mercado favorable']",0.0,31.5,False,14.0,False,56.5,False,55.0,False,0.64,False,False,False,ALCISTA,True,19.6,,False,521519.0,1.232565,,False,65.9,DISTRIBUTION,1.0,,,,,,,,,,
PMN,"ProMIS Neurosciences,",Oversold Bounce,MODERADA,55,12.5,$6.66 - $6.93,10.5,6.46,-0.33,,,,55.0,2026-04-10,22.1,ALTO,-49.6,6.8,10.5,84.0,1.15,10.5,-2.0,-16.0,-48.3,47.0,"['RSI muy bajo', 'Hammer', '✓ Mercado favorable']",0.0,27.3,False,22.9,False,58.9,False,90.9,False,1.52,True,True,False,ALCISTA,True,19.6,,False,135444.0,2.265973,,False,45.6,NEUTRAL,1.0,,,,,,,,,,
SFM,SFM,Oversold Bounce,MODERADA,55,76.02,$73.75 - $76.77,84.52,71.5,1.18,,,,55.0,2026-04-10,24.5,ALTO,-10.1,75.26,84.52,1.0,0.72,81.34,5.32,7.0,-5.9,55.0,"['RSI muy bajo', 'CumRSI2=16', '✓ Mercado favorable']",0.0,27.4,False,24.0,False,44.2,False,16.5,True,2.7,False,False,False,ALCISTA,True,19.6,,False,10985734.0,4.259932,,False,62.9,DISTRIBUTION,1.0,,,,,,,,,1.19,NEUTRAL
