ticker,company_name,sentiment,flow_score,quality,current_price,total_premium,put_call_ratio,unusual_calls,unusual_puts,detected_date,expiration_date,days_to_expiration,total_unusual,call_premium,put_premium,sentiment_emoji,top_calls,top_puts
INTC,Intel,NEUTRAL,100,🔥🔥🔥 WHALE ACTIVITY,45.76,29789011.0,1.07,34,27,2026-03-17,2026-03-20,2,61,14400017.0,15388994.0,🟡,"[{'type': 'CALL', 'strike': 48.0, 'volume': 17887, 'oi': 0, 'vol_oi_ratio': 17887, 'last_price': 0.7, 'premium': 1252090.0, 'itm': False, 'implied_volatility': 0.12500875}, {'type': 'CALL', 'strike': 50.0, 'volume': 38534, 'oi': 0, 'vol_oi_ratio': 38534, 'last_price': 0.32, 'premium': 1233088.0, 'itm': False, 'implied_volatility': 0.2500075}, {'type': 'CALL', 'strike': 22.0, 'volume': 504, 'oi': 0, 'vol_oi_ratio': 504, 'last_price': 24.13, 'premium': 1216151.9999999998, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]","[{'type': 'PUT', 'strike': 48.0, 'volume': 9844, 'oi': 0, 'vol_oi_ratio': 9844, 'last_price': 2.91, 'premium': 2864604.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 45.5, 'volume': 12206, 'oi': 0, 'vol_oi_ratio': 12206, 'last_price': 1.35, 'premium': 1647810.0000000002, 'itm': False, 'implied_volatility': 0.015634843750000002}, {'type': 'PUT', 'strike': 47.0, 'volume': 7079, 'oi': 0, 'vol_oi_ratio': 7079, 'last_price': 2.23, 'premium': 1578617.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
KKR,KKR &,BEARISH,100,🔥🔥🔥 WHALE ACTIVITY,86.1,19892235.0,287.29,2,8,2026-03-17,2026-03-20,2,10,69000.0,19823235.0,🔴,"[{'type': 'CALL', 'strike': 85.0, 'volume': 175.0, 'oi': 0, 'vol_oi_ratio': 175.0, 'last_price': 2.8, 'premium': 48999.99999999999, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 125.0, 'volume': 1000.0, 'oi': 0, 'vol_oi_ratio': 1000.0, 'last_price': 0.2, 'premium': 20000.0, 'itm': False, 'implied_volatility': 0.500005}]","[{'type': 'PUT', 'strike': 120.0, 'volume': 2440.0, 'oi': 0, 'vol_oi_ratio': 2440.0, 'last_price': 34.55, 'premium': 8430200.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 125.0, 'volume': 1030.0, 'oi': 0, 'vol_oi_ratio': 1030.0, 'last_price': 39.35, 'premium': 4053050.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 110.0, 'volume': 1580.0, 'oi': 0, 'vol_oi_ratio': 1580.0, 'last_price': 24.55, 'premium': 3878900.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
OXY,Occidental Petroleum,BULLISH,100,🔥🔥🔥 WHALE ACTIVITY,57.25,28767362.0,0.01,14,6,2026-03-17,2026-03-20,2,20,28596364.0,170998.0,🟢,"[{'type': 'CALL', 'strike': 27.5, 'volume': 4330.0, 'oi': 0.0, 'vol_oi_ratio': 4330.0, 'last_price': 26.7, 'premium': 11561100.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 22.5, 'volume': 3360.0, 'oi': 0.0, 'vol_oi_ratio': 3360.0, 'last_price': 31.65, 'premium': 10634400.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 20.0, 'volume': 1191.0, 'oi': 0.0, 'vol_oi_ratio': 1191.0, 'last_price': 32.9, 'premium': 3918390.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]","[{'type': 'PUT', 'strike': 57.0, 'volume': 554.0, 'oi': 0, 'vol_oi_ratio': 554.0, 'last_price': 0.88, 'premium': 48752.0, 'itm': False, 'implied_volatility': 0.015634843750000002}, {'type': 'PUT', 'strike': 58.0, 'volume': 249.0, 'oi': 0, 'vol_oi_ratio': 249.0, 'last_price': 1.41, 'premium': 35109.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 57.5, 'volume': 240.0, 'oi': 0, 'vol_oi_ratio': 240.0, 'last_price': 1.19, 'premium': 28559.999999999996, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
CRM,"Salesforce,",BEARISH,100,🔥🔥🔥 WHALE ACTIVITY,198.34,72804619.0,15.39,14,14,2026-03-17,2026-03-20,2,28,4442524.0,68362095.0,🔴,"[{'type': 'CALL', 'strike': 190.0, 'volume': 1263.0, 'oi': 0, 'vol_oi_ratio': 1263.0, 'last_price': 8.73, 'premium': 1102599.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 180.0, 'volume': 374.0, 'oi': 0, 'vol_oi_ratio': 374.0, 'last_price': 18.12, 'premium': 677688.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 200.0, 'volume': 2224.0, 'oi': 0, 'vol_oi_ratio': 2224.0, 'last_price': 2.97, 'premium': 660528.0000000001, 'itm': False, 'implied_volatility': 0.015634843750000002}]","[{'type': 'PUT', 'strike': 240.0, 'volume': 4360.0, 'oi': 0, 'vol_oi_ratio': 4360.0, 'last_price': 42.99, 'premium': 18743640.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 230.0, 'volume': 5071.0, 'oi': 0, 'vol_oi_ratio': 5071.0, 'last_price': 32.83, 'premium': 16648093.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 250.0, 'volume': 3130.0, 'oi': 0, 'vol_oi_ratio': 3130.0, 'last_price': 52.73, 'premium': 16504490.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
BA,The Boeing,BEARISH,100,🔥🔥🔥 WHALE ACTIVITY,213.47,16989175.0,2.88,12,16,2026-03-17,2026-03-20,2,28,4377195.0,12611980.0,🔴,"[{'type': 'CALL', 'strike': 215.0, 'volume': 2941, 'oi': 0, 'vol_oi_ratio': 2941, 'last_price': 3.54, 'premium': 1041114.0, 'itm': False, 'implied_volatility': 0.015634843750000002}, {'type': 'CALL', 'strike': 212.5, 'volume': 1737, 'oi': 0, 'vol_oi_ratio': 1737, 'last_price': 4.9, 'premium': 851130.0000000001, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 217.5, 'volume': 2445, 'oi': 0, 'vol_oi_ratio': 2445, 'last_price': 2.49, 'premium': 608805.0, 'itm': False, 'implied_volatility': 0.062509375}]","[{'type': 'PUT', 'strike': 250.0, 'volume': 1016.0, 'oi': 0, 'vol_oi_ratio': 1016.0, 'last_price': 32.36, 'premium': 3287776.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 245.0, 'volume': 824.0, 'oi': 0, 'vol_oi_ratio': 824.0, 'last_price': 31.58, 'premium': 2602192.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 210.0, 'volume': 5121.0, 'oi': 0, 'vol_oi_ratio': 5121.0, 'last_price': 2.73, 'premium': 1398033.0, 'itm': False, 'implied_volatility': 0.0312596875}]"
USAR,"USA Rare Earth,",BEARISH,100,🔥🔥🔥 WHALE ACTIVITY,19.49,2407868.0,4.35,8,10,2026-03-17,2026-03-20,2,18,449868.0,1958000.0,🔴,"[{'type': 'CALL', 'strike': 20.0, 'volume': 2424, 'oi': 0, 'vol_oi_ratio': 2424, 'last_price': 0.7, 'premium': 169680.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'CALL', 'strike': 22.0, 'volume': 4033, 'oi': 0, 'vol_oi_ratio': 4033, 'last_price': 0.16, 'premium': 64528.0, 'itm': False, 'implied_volatility': 0.2500075}, {'type': 'CALL', 'strike': 20.5, 'volume': 1217, 'oi': 0, 'vol_oi_ratio': 1217, 'last_price': 0.47, 'premium': 57199.0, 'itm': False, 'implied_volatility': 0.12500875}]","[{'type': 'PUT', 'strike': 55.0, 'volume': 200.0, 'oi': 0, 'vol_oi_ratio': 200.0, 'last_price': 34.87, 'premium': 697399.9999999999, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 50.0, 'volume': 120.0, 'oi': 0, 'vol_oi_ratio': 120.0, 'last_price': 30.7, 'premium': 368400.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 20.0, 'volume': 2503.0, 'oi': 0, 'vol_oi_ratio': 2503.0, 'last_price': 1.25, 'premium': 312875.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
MSTR,Strategy,BEARISH,100,🔥🔥🔥 WHALE ACTIVITY,147.52,368069740.0,10.6,29,52,2026-03-17,2026-03-20,2,81,31737740.0,336332000.0,🔴,"[{'type': 'CALL', 'strike': 150.0, 'volume': 14052.0, 'oi': 0, 'vol_oi_ratio': 14052.0, 'last_price': 3.75, 'premium': 5269500.0, 'itm': False, 'implied_volatility': 0.0312596875}, {'type': 'CALL', 'strike': 145.0, 'volume': 7066.0, 'oi': 0, 'vol_oi_ratio': 7066.0, 'last_price': 6.35, 'premium': 4486910.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 146.0, 'volume': 5934.0, 'oi': 0, 'vol_oi_ratio': 5934.0, 'last_price': 5.8, 'premium': 3441719.9999999995, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]","[{'type': 'PUT', 'strike': 400.0, 'volume': 5490.0, 'oi': 0, 'vol_oi_ratio': 5490.0, 'last_price': 252.46, 'premium': 138600540.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 390.0, 'volume': 4420.0, 'oi': 0, 'vol_oi_ratio': 4420.0, 'last_price': 242.45, 'premium': 107162900.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 350.0, 'volume': 1990.0, 'oi': 0, 'vol_oi_ratio': 1990.0, 'last_price': 202.42, 'premium': 40281580.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
PRU,"Prudential Financial,",BEARISH,90,🔥🔥🔥 WHALE ACTIVITY,93.22,1790619.0,56.53,1,5,2026-03-17,2026-03-20,2,6,31125.0,1759494.0,🔴,"[{'type': 'CALL', 'strike': 95.0, 'volume': 415.0, 'oi': 0, 'vol_oi_ratio': 415.0, 'last_price': 0.75, 'premium': 31125.0, 'itm': False, 'implied_volatility': 0.062509375}]","[{'type': 'PUT', 'strike': 115.0, 'volume': 290.0, 'oi': 0, 'vol_oi_ratio': 290.0, 'last_price': 21.47, 'premium': 622629.9999999999, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 110.0, 'volume': 290.0, 'oi': 0, 'vol_oi_ratio': 290.0, 'last_price': 16.47, 'premium': 477629.99999999994, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 120.0, 'volume': 160.0, 'oi': 0, 'vol_oi_ratio': 160.0, 'last_price': 28.4, 'premium': 454400.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
URI,"United Rentals,",BEARISH,90,🔥🔥🔥 WHALE ACTIVITY,743.13,16565361.0,66.88,2,3,2026-03-17,2026-03-20,2,5,244044.0,16321317.0,🔴,"[{'type': 'CALL', 'strike': 750.0, 'volume': 150.0, 'oi': 0, 'vol_oi_ratio': 150.0, 'last_price': 15.0, 'premium': 225000.0, 'itm': False, 'implied_volatility': 0.015634843750000002}, {'type': 'CALL', 'strike': 945.0, 'volume': 414.0, 'oi': 0, 'vol_oi_ratio': 414.0, 'last_price': 0.46, 'premium': 19044.0, 'itm': False, 'implied_volatility': 0.500005}]","[{'type': 'PUT', 'strike': 1100.0, 'volume': 290.0, 'oi': 0.0, 'vol_oi_ratio': 290.0, 'last_price': 228.19, 'premium': 6617510.000000001, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 890.0, 'volume': 431.0, 'oi': 0.0, 'vol_oi_ratio': 431.0, 'last_price': 148.07, 'premium': 6381817.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 900.0, 'volume': 210.0, 'oi': 0.0, 'vol_oi_ratio': 210.0, 'last_price': 158.19, 'premium': 3321990.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
CVS,CVS Health,BULLISH,90,🔥🔥🔥 WHALE ACTIVITY,75.84,2665994.0,0.09,3,2,2026-03-17,2026-03-20,2,5,2450255.0,215739.0,🟢,"[{'type': 'CALL', 'strike': 52.5, 'volume': 475.0, 'oi': 0, 'vol_oi_ratio': 475.0, 'last_price': 29.45, 'premium': 1398875.0, 'itm': True, 'implied_volatility': 3.3984390039062498}, {'type': 'CALL', 'strike': 55.0, 'volume': 330.0, 'oi': 0, 'vol_oi_ratio': 330.0, 'last_price': 27.1, 'premium': 894300.0, 'itm': True, 'implied_volatility': 3.1279318676757812}, {'type': 'CALL', 'strike': 76.0, 'volume': 1309.0, 'oi': 0, 'vol_oi_ratio': 1309.0, 'last_price': 1.2, 'premium': 157080.0, 'itm': False, 'implied_volatility': 0.007822421875}]","[{'type': 'PUT', 'strike': 76.0, 'volume': 1467.0, 'oi': 0, 'vol_oi_ratio': 1467.0, 'last_price': 1.17, 'premium': 171639.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 75.0, 'volume': 588.0, 'oi': 0, 'vol_oi_ratio': 588.0, 'last_price': 0.75, 'premium': 44100.0, 'itm': False, 'implied_volatility': 0.0312596875}]"
