ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
KFS,KFS,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,10.74,$12.05 - $12.55,13.9,11.69,0.0,2026-03-19,24.6,-22.7,12.3,13.9,-12.7,1.65,,,,,,
MCFT,MCFT,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,19.68,$18.82 - $19.58,22.79,18.24,2.16,2026-03-19,23.3,-21.8,19.2,22.79,2.5,1.35,,,,,,
NCLH,NCLH,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,19.8,$20.51 - $21.35,24.27,19.88,0.0,2026-03-19,22.6,-20.9,20.93,24.27,-5.4,0.59,,,,,,
APTV,APTV,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,70.13,$74.4 - $77.44,85.92,72.12,0.0,2026-03-19,28.5,-20.9,75.92,85.92,-7.6,0.85,,,,,,
ALIT,ALIT,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,0.68,$1.46 - $1.52,2.36,1.42,0.0,2026-03-19,29.5,-65.3,1.49,2.36,-54.2,0.49,,,,,,
PODD,PODD,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,230.28,$270.86 - $281.91,314.2,262.57,0.0,2026-03-19,29.8,-23.0,276.39,314.2,-16.7,0.65,,,,,,
AUID,AUID,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,1.44,$1.35 - $1.41,2.31,1.31,6.74,2026-03-19,28.6,-22.2,1.38,2.31,4.3,0.34,,,,,,
SPT,SPT,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,5.65,$9.16 - $9.54,11.37,8.88,0.0,2026-03-19,25.7,-51.6,9.35,11.37,-39.6,0.92,,,,,,
IP,IP,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,35.9,$36.46 - $37.95,45.62,35.35,17.63,2026-03-19,24.7,-26.3,37.21,45.62,-3.5,0.87,,,,,,
AISP,AISP,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,2.4,$2.54 - $2.64,4.11,2.46,0.0,2026-03-19,28.6,-44.4,2.59,4.11,-7.3,1.03,,,,,,
VENU,VENU,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,3.5,$8.21 - $8.55,10.89,7.96,0.0,2026-03-19,16.7,-63.8,8.38,10.89,-58.2,0.66,,,,,,
BH,BH,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,299.99,$316.17 - $329.07,425.96,306.49,0.0,2026-03-19,22.0,-37.1,322.62,425.96,-7.0,0.37,,,,,,
