ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
SONO,"Sonos,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,13.43,$14.81 - $15.41,17.83,14.35,0.0,2026-03-20,26.4,-25.8,15.11,17.83,-11.1,0.69,,,,,,
VENU,Venu Holding,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,3.55,$8.21 - $8.55,10.89,7.96,0.0,2026-03-20,19.5,-63.3,8.38,10.89,-57.6,0.45,,,,,,
BH,Biglari,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,312.07,$316.17 - $329.07,425.96,306.49,20.41,2026-03-20,27.9,-34.6,322.62,425.96,-3.3,0.74,,,,,,
MNRO,"Monro,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,15.33,$16.7 - $17.38,21.11,16.19,0.0,2026-03-20,7.1,-34.8,17.04,21.11,-10.0,0.81,,,,,,
CVCO,"Cavco Industries,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,470.47,$493.92 - $514.08,602.2,478.8,0.0,2026-03-20,18.5,-32.6,504.0,602.2,-6.7,0.85,,,,,,
WS,"Worthington Steel,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,31.36,$29.81 - $31.02,42.39,28.9,4.47,2026-03-20,7.2,-35.3,30.42,42.39,3.1,0.96,,,,,,
INTC,Intel,Bull Flag Pullback,⭐⭐ MUY BUENA,75,46.18,$45.26 - $47.1,54.32,45.12,7.65,2026-03-20,,,,,,,50.2,-15.0,46.51,46.51,Bearish,True
ENPH,"Enphase Energy,",Bull Flag Pullback,⭐⭐ MUY BUENA,75,44.64,$43.75 - $45.53,51.67,40.94,1.9,2026-03-20,,,,,,,61.2,-13.6,42.21,42.21,Bearish,True
HYMC,Hycroft Mining Holding,Oversold Bounce,⭐⭐ MUY BUENA,75,31.76,$19.53 - $20.32,54.85,18.93,1.8,2026-03-20,29.8,-43.0,19.92,54.85,59.4,1.62,,,,,,
BLIN,BLIN,Bull Flag Pullback,⭐⭐ MUY BUENA,75,0.87,$0.86 - $0.89,0.99,0.82,2.07,2026-03-20,,,,,,,41.4,-11.7,0.84,0.84,Bearish,True
GEF,"Greif,",Oversold Bounce,⭐⭐ MUY BUENA,75,63.37,$60.83 - $63.31,69.73,58.97,1.44,2026-03-20,14.0,-16.8,62.07,69.73,2.1,1.24,,,,,,
VIRC,Virco Mfg.,Oversold Bounce,⭐⭐ MUY BUENA,75,5.93,$6.15 - $6.41,7.2,5.97,0.0,2026-03-20,24.4,-15.2,6.28,7.2,-5.6,1.2,,,,,,
BA,The Boeing,Oversold Bounce,⭐⭐ MUY BUENA,70,201.18,$206.52 - $214.94,225.32,200.19,24.47,2026-03-20,31.9,-20.2,210.73,225.32,-4.5,1.33,,,,,,
SNES,"SenesTech,",Oversold Bounce,⭐⭐ MUY BUENA,70,1.74,$1.74 - $1.82,2.69,1.69,19.29,2026-03-20,34.0,-27.5,1.78,2.69,-2.2,1.27,,,,,,
SPRU,Spruce Power Holding,Oversold Bounce,⭐⭐ MUY BUENA,70,3.91,$3.66 - $3.81,5.75,3.55,5.09,2026-03-20,47.2,-39.5,3.74,5.75,4.7,1.27,,,,,,
SQNS,Sequansmmunications S.A.,Oversold Bounce,⭐⭐ MUY BUENA,70,3.05,$4.4 - $4.58,6.27,4.27,0.0,2026-03-20,56.7,-47.2,4.49,6.27,-32.1,1.24,,,,,,
WYY,WidePoint,Oversold Bounce,⭐⭐ MUY BUENA,70,4.69,$5.2 - $5.42,7.34,5.04,0.0,2026-03-20,46.1,-36.4,5.31,7.34,-11.7,2.21,,,,,,
CNXC,Concentrix,Oversold Bounce,⭐⭐ MUY BUENA,70,31.92,$35.26 - $36.7,39.41,34.18,0.0,2026-03-20,46.9,-26.9,35.98,39.41,-11.3,1.3,,,,,,
SAIC,Science Applications International,Bull Flag Pullback,⭐ BUENA,60,97.16,$95.22 - $99.1,113.94,94.83,7.22,2026-03-20,,,,,,,38.6,-14.7,97.77,97.77,Bearish,False
EMPD,Empery Digital,Bull Flag Pullback,⭐ BUENA,60,4.53,$4.44 - $4.62,5.09,4.18,1.62,2026-03-20,,,,,,,56.1,-11.0,4.31,4.31,Bearish,False
MLAB,MLAB,Bull Flag Pullback,⭐ BUENA,60,82.52,$80.87 - $84.17,96.57,84.04,0.0,2026-03-20,,,,,,,31.9,-14.5,86.64,86.64,Bearish,False
WRB,W. R. Berkley,Oversold Bounce,MODERADA,55,66.22,$65.46 - $68.13,75.01,63.46,3.18,2026-03-20,26.6,-9.6,66.8,75.01,-0.9,0.87,,,,,,
CVS,CVS Health,Oversold Bounce,MODERADA,55,71.86,$72.8 - $75.77,81.72,70.57,7.64,2026-03-20,19.6,-14.3,74.28,81.72,-3.3,0.93,,,,,,
GL,Globe Life,Oversold Bounce,MODERADA,55,137.71,$130.77 - $136.11,143.22,126.77,0.5,2026-03-20,24.0,-6.3,133.44,143.22,3.2,0.65,,,,,,
ABT,Abbott Laboratories,Oversold Bounce,MODERADA,55,107.19,$119.38 - $124.25,127.48,115.73,0.0,2026-03-20,27.9,-15.7,121.82,127.48,-12.0,1.18,,,,,,
THM,International Tower Hill Mines,Oversold Bounce,MODERADA,55,2.05,$1.82 - $1.9,2.92,1.77,3.07,2026-03-20,17.4,-43.2,1.86,2.92,10.2,1.11,,,,,,
LAKE,"Lakeland Industries,",Oversold Bounce,MODERADA,55,8.37,$10.59 - $11.02,15.78,10.26,0.0,2026-03-20,26.5,-17.2,10.81,15.78,-22.5,0.6,,,,,,
UA,"Under Armour,",Oversold Bounce,MODERADA,55,5.94,$3.96 - $4.12,4.57,3.84,-0.65,2026-03-20,12.3,-24.6,4.04,4.57,47.0,0.94,,,,,,
NKE,"NIKE,",Oversold Bounce,MODERADA,55,53.44,$59.07 - $61.48,65.86,57.26,0.0,2026-03-20,10.7,-18.9,60.27,65.86,-11.3,0.74,,,,,,
PATK,"Patrick Industries,",Oversold Bounce,MODERADA,55,110.7,$94.29 - $98.14,123.82,91.41,0.68,2026-03-20,11.8,-23.8,96.22,123.82,15.1,0.84,,,,,,
CMC,Commercial Metals,Oversold Bounce,MODERADA,55,61.15,$55.66 - $57.94,71.19,53.96,1.4,2026-03-20,14.7,-26.5,56.8,71.19,7.7,0.67,,,,,,
NNUP,"Nocopi Technologies,",Oversold Bounce,MODERADA,55,1.51,$1.48 - $1.54,1.65,1.43,1.85,2026-03-20,29.8,-15.7,1.51,1.65,0.0,0.1,,,,,,
KKR,KKR &,Oversold Bounce,MODERADA,50,90.6,$114.78 - $119.47,135.57,111.27,0.0,2026-03-20,55.5,-33.2,117.13,135.57,-22.6,0.57,,,,,,
PRU,"Prudential Financial,",Oversold Bounce,MODERADA,50,92.51,$97.65 - $101.63,116.03,94.66,0.0,2026-03-20,30.1,-21.0,99.64,116.03,-7.2,0.68,,,,,,
PODD,Insulet,Oversold Bounce,MODERADA,50,228.63,$270.86 - $281.91,314.2,262.57,0.0,2026-03-20,31.8,-23.6,276.39,314.2,-17.3,0.65,,,,,,
CRM,"Salesforce,",Oversold Bounce,MODERADA,50,194.99,$197.55 - $205.62,262.99,191.5,19.51,2026-03-20,50.2,-26.8,201.58,262.99,-3.3,0.64,,,,,,
ROP,"Roper Technologies,",Oversold Bounce,MODERADA,50,353.26,$369.59 - $384.68,452.79,358.28,0.0,2026-03-20,53.6,-21.5,377.14,452.79,-6.3,0.99,,,,,,
CSGP,CSGP,Oversold Bounce,MODERADA,50,42.82,$62.35 - $64.89,68.53,60.44,0.0,2026-03-20,42.6,-36.9,63.62,68.53,-32.7,0.96,,,,,,
FIS,"Fidelity National Information Services,",Oversold Bounce,MODERADA,50,49.26,$59.39 - $61.82,66.82,57.58,0.0,2026-03-20,41.3,-26.4,60.61,66.82,-18.7,0.98,,,,,,
NAVN,"Navan,",Oversold Bounce,MODERADA,50,9.09,$12.64 - $13.16,14.55,12.25,0.0,2026-03-20,43.3,-49.7,12.9,14.55,-29.5,0.61,,,,,,
YYAI,AiRWA,Oversold Bounce,MODERADA,50,0.89,$0.86 - $0.9,1.45,0.84,10.98,2026-03-20,49.8,-46.1,0.88,1.45,0.8,0.6,,,,,,
RAL,Ralliant,Oversold Bounce,MODERADA,50,42.55,$42.05 - $43.76,49.58,40.76,3.93,2026-03-20,36.5,-24.3,42.9,49.58,-0.8,0.75,,,,,,
VRNS,"Varonis Systems,",Oversold Bounce,MODERADA,50,24.02,$29.6 - $30.8,35.75,28.69,0.0,2026-03-20,61.5,-32.8,30.2,35.75,-20.5,0.82,,,,,,
LAW,"CS Disco,",Oversold Bounce,MODERADA,50,4.27,$5.74 - $5.98,7.14,5.57,0.0,2026-03-20,70.4,-47.6,5.86,7.14,-27.1,0.3,,,,,,
MSTR,Strategy,Oversold Bounce,MODERADA,50,138.24,$148.91 - $154.99,188.99,144.35,0.0,2026-03-20,56.1,-22.9,151.95,188.99,-9.0,0.94,,,,,,
VERX,VERX,Oversold Bounce,MODERADA,50,12.98,$18.67 - $19.44,20.62,18.1,0.0,2026-03-20,30.9,-36.1,19.06,20.62,-31.9,0.55,,,,,,
SSTI,SSTI,Oversold Bounce,MODERADA,50,6.49,$6.31 - $6.57,8.45,6.12,5.27,2026-03-20,41.7,-28.4,6.44,8.45,0.8,0.71,,,,,,
THRY,"Thryv,",Oversold Bounce,MODERADA,50,2.75,$5.28 - $5.5,6.17,5.12,0.0,2026-03-20,60.0,-55.1,5.39,6.17,-49.0,0.6,,,,,,
CSPI,CSPI,Oversold Bounce,MODERADA,50,8.31,$10.72 - $11.16,14.17,10.39,0.0,2026-03-20,33.0,-36.0,10.94,14.17,-24.0,0.51,,,,,,
TYL,TYL,Oversold Bounce,MODERADA,50,350.07,$441.02 - $459.02,468.87,427.52,0.0,2026-03-20,46.7,-24.7,450.02,468.87,-22.2,1.01,,,,,,
SPT,"Sprout Social,",Oversold Bounce,MODERADA,50,5.79,$9.16 - $9.54,11.37,8.88,0.0,2026-03-20,36.7,-50.4,9.35,11.37,-38.1,0.71,,,,,,
PAR,PAR Technology,Oversold Bounce,MODERADA,50,14.1,$32.51 - $33.83,37.73,31.51,0.0,2026-03-20,36.6,-64.5,33.17,37.73,-57.5,0.68,,,,,,
ALKT,ALKT,Oversold Bounce,MODERADA,50,16.93,$18.7 - $19.46,23.67,18.13,0.0,2026-03-20,53.8,-28.5,19.08,23.67,-11.3,0.54,,,,,,
ACVA,ACV Auctions,Oversold Bounce,MODERADA,50,4.73,$6.28 - $6.53,8.98,6.08,0.0,2026-03-20,46.9,-47.3,6.4,8.98,-26.2,0.55,,,,,,
VEEE,VEEE,Oversold Bounce,MODERADA,50,0.4,$1.56 - $1.62,2.66,1.51,0.0,2026-03-20,46.1,-80.1,1.59,2.66,-74.8,0.36,,,,,,
DIN,"Dine Brands Global,",Oversold Bounce,MODERADA,50,29.2,$30.8 - $32.06,35.02,29.86,0.0,2026-03-20,42.4,-24.3,31.43,35.02,-7.1,0.65,,,,,,
BJRI,BJRI,Oversold Bounce,MODERADA,50,35.14,$33.16 - $34.52,42.06,32.15,2.31,2026-03-20,37.2,-22.8,33.84,42.06,3.8,0.82,,,,,,
NOMA,Nomadar,Oversold Bounce,MODERADA,50,3.93,$3.7 - $3.86,5.25,3.59,3.91,2026-03-20,49.0,-39.5,3.78,5.25,4.0,0.91,,,,,,
GLGI,"Greystone Logistics,",Oversold Bounce,MODERADA,50,0.28,$0.52 - $0.54,0.63,0.5,0.0,2026-03-20,30.8,-55.6,0.53,0.63,-47.2,0.63,,,,,,
