ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
NG,NovaGold Resources,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,7.9,$8.13 - $8.47,10.51,7.89,174.0,2026-03-20,15.3,-44.4,8.3,10.51,-4.8,2.15,,,,,,
KFS,Kingsway Financial Services,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,10.22,$12.05 - $12.55,13.9,11.69,0.0,2026-03-20,22.7,-26.5,12.3,13.9,-16.9,1.72,,,,,,
IP,International Paper,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,34.0,$36.46 - $37.95,45.62,35.35,0.0,2026-03-20,19.8,-30.2,37.21,45.62,-8.6,1.58,,,,,,
GPK,GPK,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,9.36,$14.59 - $15.19,15.94,14.15,0.0,2026-03-20,8.7,-40.7,14.89,15.94,-37.2,1.39,,,,,,
URI,"United Rentals,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,719.95,$761.68 - $792.77,931.49,738.37,0.0,2026-03-20,24.6,-24.5,777.23,931.49,-7.4,0.96,,,,,,
CRL,CRL,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,153.05,$156.62 - $163.02,197.04,151.83,36.03,2026-03-20,29.1,-32.5,159.82,197.04,-4.2,0.48,,,,,,
POOL,POOL,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,204.36,$235.35 - $244.95,268.14,228.14,0.0,2026-03-20,23.4,-24.3,240.15,268.14,-14.9,0.78,,,,,,
ALIT,"Alight,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,0.67,$1.46 - $1.52,2.36,1.42,0.0,2026-03-20,29.3,-66.1,1.49,2.36,-55.2,0.68,,,,,,
HUM,HUM,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,166.45,$218.08 - $226.98,278.88,211.4,0.0,2026-03-20,20.9,-41.4,222.53,278.88,-25.2,0.95,,,,,,
CNDT,CNDT,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,1.21,$1.79 - $1.86,2.07,1.73,0.0,2026-03-20,26.4,-41.5,1.82,2.07,-33.7,1.09,,,,,,
