Ticker,Insider,Title,Date,Type,Price,Qty,Owned,Value,Source,ScrapedAt,Chart_Daily,Chart_Weekly
2026-03-17 08:54:07,CPNG,"Coupang, Inc.",Dir,P - Purchase,18.58,7350104,55389750,136%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/CPNG_d.png,reports/graphs/CPNG_w.png
2026-03-17 08:54:07,SNDA,"Sonida Senior Living, Inc.","Dir, 10%",P - Purchase,26.74,3739716,2488273,100%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/SNDA_d.png,reports/graphs/SNDA_w.png
2026-03-17 08:54:07,STAA,Staar Surgical Co,"Dir, 10%",P - Purchase,18.3,670213,32273584,12%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/STAA_d.png,reports/graphs/STAA_w.png
2026-03-17 08:54:07,IFF,International Flavors & Fragrances Inc,Dir,P - Purchase,70.12,156459,2452839,10%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/IFF_d.png,reports/graphs/IFF_w.png
2026-03-17 08:54:07,FOX,Fox Corp,"Exec Chair, CEO",P - Purchase,60.63,175372,1889835,10%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/FOX_d.png,reports/graphs/FOX_w.png
2026-03-17 08:54:07,TGLS,Tecnoglass Inc.,10%,P - Purchase,45.2,215229,20731985,9%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/TGLS_d.png,reports/graphs/TGLS_w.png
2026-03-17 08:54:07,ALKT,"Alkami Technology, Inc.","Dir, 10%",P - Purchase,18.33,500000,15379451,9%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/ALKT_d.png,reports/graphs/ALKT_w.png
2026-03-17 08:54:07,MTN,Vail Resorts Inc,"CEO, Chairperson of the Board",P - Purchase,131.81,37500,285312,4%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/MTN_d.png,reports/graphs/MTN_w.png
2026-03-17 08:54:07,BLDR,"Builders Firstsource, Inc.",Dir,P - Purchase,87.73,50000,1727191,4%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/BLDR_d.png,reports/graphs/BLDR_w.png
2026-03-17 08:54:07,SUMA,Suma Acquisition Corp,"See Remarks, 10%",P - Purchase,10.0,316875,316875,3%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/SUMA_d.png,reports/graphs/SUMA_w.png
2026-03-17 08:54:07,AMR,"Alpha Metallurgical Resources, Inc.",Dir,P - Purchase,186.87,10000,866537,1%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/AMR_d.png,reports/graphs/AMR_w.png
2026-03-17 08:54:07,VANI,"Vivani Medical, Inc.","Dir, 10%",P - Purchase,1.07,1575231,36156383,1%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/VANI_d.png,reports/graphs/VANI_w.png
2026-03-17 08:54:07,PTLO,Portillo'S Inc.,Dir,P - Purchase,5.18,286000,477048,1%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/PTLO_d.png,reports/graphs/PTLO_w.png
2026-03-17 08:54:07,SRZN,"Surrozen, Inc./De",10%,P - Purchase,24.91,48997,675610,1%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/SRZN_d.png,reports/graphs/SRZN_w.png
2026-03-17 08:54:07,ULBI,Ultralife Corp,"Dir, 10%",P - Purchase,6.38,187512,6599957,1%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/ULBI_d.png,reports/graphs/ULBI_w.png
2026-03-17 08:54:07,GOGO,Gogo Inc.,Dir,P - Purchase,4.55,250000,4511032,1%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/GOGO_d.png,reports/graphs/GOGO_w.png
2026-03-17 08:54:07,BETR,Better Home & Finance Holding Co,10%,P - Purchase,34.12,29494,1202912,1%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/BETR_d.png,reports/graphs/BETR_w.png
2026-03-17 08:54:07,IFF,International Flavors & Fragrances Inc,CEO,P - Purchase,69.79,14260,102920,995%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/IFF_d.png,reports/graphs/IFF_w.png
2026-03-17 08:54:07,BH,Biglari Holdings Inc.,"COB, CEO, 10%",P - Purchase,302.2,2810,1571761,849%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/BH_d.png,reports/graphs/BH_w.png
2026-03-17 08:54:07,VNO,Vornado Realty Trust,Dir,P - Purchase,25.55,30000,215000,766%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/VNO_d.png,reports/graphs/VNO_w.png
2026-03-17 08:54:07,BETR,Better Home & Finance Holding Co,10%,P - Purchase,29.55,25000,1227912,738%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/BETR_d.png,reports/graphs/BETR_w.png
2026-03-17 08:54:07,LOGC,Contextlogic Holdings Inc.,"Dir, 10%",P - Purchase,8.24,71000,18590534,585%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/LOGC_d.png,reports/graphs/LOGC_w.png
2026-03-17 08:54:07,MBX,"Mbx Biosciences, Inc.","Pres, CEO",P - Purchase,28.41,18500,1215051,525%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/MBX_d.png,reports/graphs/MBX_w.png
2026-03-17 08:54:07,VRTS,"Virtus Investment Partners, Inc.",Dir,P - Purchase,129.47,4050,6892,524%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/VRTS_d.png,reports/graphs/VRTS_w.png
2026-03-17 08:54:07,VSNT,"Versant Media Group, Inc.",Dir,P - Purchase,37.81,13500,15878,510%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/VSNT_d.png,reports/graphs/VSNT_w.png
2026-03-17 08:54:07,HBAN,Huntington Bancshares Inc /Md/,"Pres, CEO, COB",P - Purchase,15.49,32277,9040813,499%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/HBAN_d.png,reports/graphs/HBAN_w.png
2026-03-17 08:54:07,LINE,"Lineage, Inc.","CO-Exec COB, 10%",P - Purchase,37.5,13300,155562807,498%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/LINE_d.png,reports/graphs/LINE_w.png
2026-03-17 08:54:07,BWFG,"Bankwell Financial Group, Inc.",Dir,P - Purchase,46.96,10000,845955,469%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/BWFG_d.png,reports/graphs/BWFG_w.png
2026-03-17 08:54:07,ALTG,Alta Equipment Group Inc.,10%,P - Purchase,6.09,61960,4373208,377%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/ALTG_d.png,reports/graphs/ALTG_w.png
2026-03-17 08:54:07,KGS,"Kodiak Gas Services, Inc.",Dir,P - Purchase,54.81,6000,28406,328%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/KGS_d.png,reports/graphs/KGS_w.png
2026-03-17 08:54:07,LOAR,Loar Holdings Inc.,"Dir, 10%",P - Purchase,64.97,4800,31443220,311%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/LOAR_d.png,reports/graphs/LOAR_w.png
2026-03-17 08:54:07,FLNT,"Fluent, Inc.","Dir, 10%",P - Purchase,3.47,82480,3099061,286%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/FLNT_d.png,reports/graphs/FLNT_w.png
2026-03-17 08:54:07,FLNT,"Fluent, Inc.",10%,P - Purchase,3.47,82355,3099061,286%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/FLNT_d.png,reports/graphs/FLNT_w.png
2026-03-17 08:54:07,KGS,"Kodiak Gas Services, Inc.",Dir,P - Purchase,54.75,5000,5000,273%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/KGS_d.png,reports/graphs/KGS_w.png
2026-03-17 08:54:07,RPC,"Ridgepost Capital, Inc.",See Remarks,P - Purchase,8.15,32500,188554,264%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/RPC_d.png,reports/graphs/RPC_w.png
2026-03-17 08:54:07,AIRS,"Airsculpt Technologies, Inc.",10%,P - Purchase,2.43,105848,6592059,257%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/AIRS_d.png,reports/graphs/AIRS_w.png
2026-03-17 08:54:07,CTEV,Claritev Corp,"EVP, Chief Digital Officer",P - Purchase,16.5,15000,182878,247%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/CTEV_d.png,reports/graphs/CTEV_w.png
2026-03-17 08:54:07,ABSI,Absci Corp,Chief Innovation Officer,P - Purchase,2.29,100000,421446,229%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/ABSI_d.png,reports/graphs/ABSI_w.png
2026-03-17 08:54:07,BBSI,Barrett Business Services Inc,"Pres, CEO",P - Purchase,26.89,8370,328801,225%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/BBSI_d.png,reports/graphs/BBSI_w.png
2026-03-17 08:54:07,CPS,Cooper-Standard Holdings Inc.,Dir,P - Purchase,30.23,6885,25000,208%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/CPS_d.png,reports/graphs/CPS_w.png
2026-03-17 08:54:07,CASY,Caseys General Stores Inc,Dir,P - Purchase,665.43,300,4499,199%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/CASY_d.png,reports/graphs/CASY_w.png
2026-03-17 08:54:07,DCH,Dauch Corp,Dir,P - Purchase,5.2,35000,35000,182%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/DCH_d.png,reports/graphs/DCH_w.png
2026-03-17 08:54:07,AMRZ,Amrize Ltd,Chief Supply Chain Officer,P - Purchase,55.29,3200,30947,176%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/AMRZ_d.png,reports/graphs/AMRZ_w.png
2026-03-17 08:54:07,WEST,Westrock Coffee Co,Dir,P - Purchase,3.92,45000,4345192,176%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/WEST_d.png,reports/graphs/WEST_w.png
2026-03-17 08:54:07,GWRS,"Global Water Resources, Inc.",Dir,P - Purchase,7.2,18305,2603134,131%,OpenInsider.com,2026-03-17 08:54:07,reports/graphs/GWRS_d.png,reports/graphs/GWRS_w.png
