Ticker,Insider,Title,Date,Type,Price,Qty,Owned,Value,Source,ScrapedAt,Chart_Daily,Chart_Weekly
2026-03-24 08:47:10,REEMF,Rare Element Resources Ltd,10%,P - Purchase,0.24,100149060,460889576,24%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/REEMF_d.png,reports/graphs/REEMF_w.png
2026-03-24 08:47:10,PHR,"Phreesia, Inc.",10%,P - Purchase,11.42,1602505,7648829,18%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/PHR_d.png,reports/graphs/PHR_w.png
2026-03-24 08:47:10,AHCO,Adapthealth Corp.,10%,P - Purchase,9.91,447827,16312698,4%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/AHCO_d.png,reports/graphs/AHCO_w.png
2026-03-24 08:47:10,SBSW,Sibanye Stillwater Ltd,CFO,P - Purchase,11.63,148819,1975300,1%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/SBSW_d.png,reports/graphs/SBSW_w.png
2026-03-24 08:47:10,GO,Grocery Outlet Holding Corp.,"Pres, CEO",P - Purchase,5.9,286097,574366,1%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/GO_d.png,reports/graphs/GO_w.png
2026-03-24 08:47:10,AMR,"Alpha Metallurgical Resources, Inc.",Dir,P - Purchase,191.07,8000,874537,1%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/AMR_d.png,reports/graphs/AMR_w.png
2026-03-24 08:47:10,BETR,Better Home & Finance Holding Co,10%,P - Purchase,28.48,53000,1280912,1%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/BETR_d.png,reports/graphs/BETR_w.png
2026-03-24 08:47:10,STIM,"Neuronetics, Inc.",10%,P - Purchase,1.34,1057400,8573804,1%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/STIM_d.png,reports/graphs/STIM_w.png
2026-03-24 08:47:10,BETR,Better Home & Finance Holding Co,10%,P - Purchase,29.6,40000,1320912,1%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/BETR_d.png,reports/graphs/BETR_w.png
2026-03-24 08:47:10,LULU,Lululemon Athletica Inc.,Dir,P - Purchase,164.2,6090,6362,999%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/LULU_d.png,reports/graphs/LULU_w.png
2026-03-24 08:47:10,MKTW,"Marketwise, Inc.","Dir, 10%",P - Purchase,14.67,40373,250381,592%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/MKTW_d.png,reports/graphs/MKTW_w.png
2026-03-24 08:47:10,GO,Grocery Outlet Holding Corp.,Dir,P - Purchase,5.79,83997,1176966,486%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/GO_d.png,reports/graphs/GO_w.png
2026-03-24 08:47:10,NFJ,"Virtus Dividend, Interest & Premium Strategy Fund",10%,P - Purchase,12.41,28190,9897659,349%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/NFJ_d.png,reports/graphs/NFJ_w.png
2026-03-24 08:47:10,TTAM,Titan America Sa,CFO,P - Purchase,14.93,20000,20000,298%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/TTAM_d.png,reports/graphs/TTAM_w.png
2026-03-24 08:47:10,BHM,"Bluerock Homes Trust, Inc.","COB, CEO",P - Purchase,10.94,25798,53517,282%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/BHM_d.png,reports/graphs/BHM_w.png
2026-03-24 08:47:10,SPRU,Spruce Power Holding Corp,10%,P - Purchase,4.19,60421,3320127,252%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/SPRU_d.png,reports/graphs/SPRU_w.png
2026-03-24 08:47:10,MSTR,Strategy Inc,"Pres, CEO",P - Purchase,99.62,2509,37542,249%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/MSTR_d.png,reports/graphs/MSTR_w.png
2026-03-24 08:47:10,NMM,Navios Maritime Partners L.P.,"See Remarks, 10%",P - Purchase,66.17,3771,5667803,249%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/NMM_d.png,reports/graphs/NMM_w.png
2026-03-24 08:47:10,LOGC,Contextlogic Holdings Inc.,"Dir, 10%",P - Purchase,8.6,29000,18619534,249%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/LOGC_d.png,reports/graphs/LOGC_w.png
2026-03-24 08:47:10,STIM,"Neuronetics, Inc.",10%,P - Purchase,1.41,169472,8743276,238%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/STIM_d.png,reports/graphs/STIM_w.png
2026-03-24 08:47:10,AIRS,"Airsculpt Technologies, Inc.",10%,P - Purchase,2.64,77702,6753761,205%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/AIRS_d.png,reports/graphs/AIRS_w.png
2026-03-24 08:47:10,UUU,"Universal Safety Products, Inc.","Dir, 10%",P - Purchase,6.15,24000,683439,147%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/UUU_d.png,reports/graphs/UUU_w.png
2026-03-24 08:47:10,MNR,Mach Natural Resources LP,"See Remarks, 10%",P - Purchase,13.87,9285,74859917,128%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/MNR_d.png,reports/graphs/MNR_w.png
2026-03-24 08:47:10,FMBM,F&M Bank Corp,CEO,P - Purchase,30.59,4193,32728,128%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/FMBM_d.png,reports/graphs/FMBM_w.png
2026-03-24 08:47:10,AIRS,"Airsculpt Technologies, Inc.",10%,P - Purchase,2.77,40000,6793761,110%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/AIRS_d.png,reports/graphs/AIRS_w.png
2026-03-24 08:47:10,NBBK,"Nb Bancorp, Inc.","Pres, CEO",P - Purchase,20.77,5000,497435,103%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/NBBK_d.png,reports/graphs/NBBK_w.png
2026-03-24 08:47:10,FOSL,"Fossil Group, Inc.",Dir,P - Purchase,4.68,21929,96294,102%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/FOSL_d.png,reports/graphs/FOSL_w.png
2026-03-24 08:47:10,CWCO,Consolidated Water Co. Ltd.,Dir,P - Purchase,30.24,3310,3310,100%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/CWCO_d.png,reports/graphs/CWCO_w.png
2026-03-24 08:47:10,EPD,Enterprise Products Partners L.P.,Co-CEO,P - Purchase,37.55,2665,3208017,100%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/EPD_d.png,reports/graphs/EPD_w.png
2026-03-24 08:47:10,NFBK,"Northfield Bancorp, Inc.",EVP,P - Purchase,13.07,7500,73398,98%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/NFBK_d.png,reports/graphs/NFBK_w.png
2026-03-24 08:47:10,ALDX,"Aldeyra Therapeutics, Inc.",Dir,P - Purchase,1.4,70000,195000,98%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/ALDX_d.png,reports/graphs/ALDX_w.png
2026-03-24 08:47:10,OSUR,Orasure Technologies Inc,CFO,P - Purchase,2.93,32300,589562,94%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/OSUR_d.png,reports/graphs/OSUR_w.png
2026-03-24 08:47:10,FMBM,F&M Bank Corp,Pres,P - Purchase,30.59,3000,160050,91%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/FMBM_d.png,reports/graphs/FMBM_w.png
2026-03-24 08:47:10,XZO,"Exzeo Group, Inc.",CEO,P - Purchase,15.26,6000,1582013,91%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/XZO_d.png,reports/graphs/XZO_w.png
2026-03-24 08:47:10,AISP,"Airship Ai Holdings, Inc.","CEO, COB of the BOD, 10%",P - Purchase,2.24,40000,4012567,89%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/AISP_d.png,reports/graphs/AISP_w.png
2026-03-24 08:47:10,TOI,"Oncology Institute, Inc.",10%,P - Purchase,3.35,25000,10276929,83%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/TOI_d.png,reports/graphs/TOI_w.png
2026-03-24 08:47:10,ESOA,Energy Services of America Corp,"Pres, 10%",P - Purchase,13.21,6309,1925593,83%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/ESOA_d.png,reports/graphs/ESOA_w.png
2026-03-24 08:47:10,FMBM,F&M Bank Corp,"EVP, CFO",P - Purchase,30.59,2719,9389,83%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/FMBM_d.png,reports/graphs/FMBM_w.png
2026-03-24 08:47:10,MLP,Maui Land & Pineapple Co Inc,"Dir, 10%",P - Purchase,16.34,5000,11998872,81%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/MLP_d.png,reports/graphs/MLP_w.png
2026-03-24 08:47:10,WULF,Terawulf Inc.,Dir,P - Purchase,15.57,4835,278387,75%,OpenInsider.com,2026-03-24 08:47:10,reports/graphs/WULF_d.png,reports/graphs/WULF_w.png
