ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at
JNJ,Johnson & Johnson,74.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,75.0,70.0,80.3,85.0,60.0,80.0,76.4,False,up,-53.5,True,2,12.2,True,1,"{'eps_growth_yoy': -53.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 28.5}","{'revenue_growth_yoy': 12.2, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 19.1, 'rs_6m': 24.4, 'rs_line_percentile': 76.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 35.0, 'debt_to_equity': 0.6, 'current_ratio': 1.03, 'operating_margin_pct': 24.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 1.4}",238.46,574664540160,Healthcare,Drug Manufacturers - General,1.0,2.9,False,251.71,-5.3,7.0,True,241.92,285.0,155.0,24.0,buy,1.4,292.86,22.8,331.2,38.9,2.89,6.91,2.18,46.6,5.2,2.77,True,-1.04,34.6,34.0,0.0,2026-04-14,True,False,4.0,NEUTRAL,5.56,136.0,0.39,2026-04-13T14:22:24.916524
MTD,"Mettler-Toledo International, I",74.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,80.0,44.0,65.0,60.0,35.0,39.5,False,down,74.7,True,1,27.8,True,1,"{'eps_growth_yoy': 74.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 21.6}","{'revenue_growth_yoy': 27.8, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -8.9, 'rs_6m': -0.5, 'rs_line_percentile': 39.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 35}","{'current_ratio': 1.14, 'operating_margin_pct': 30.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 13.1}",1325.01,26931159040,Healthcare,Diagnostics & Research,3.4,3.3,False,1525.17,-13.1,5.0,False,1498.31,1700.0,1200.0,13.0,buy,13.1,884.64,-33.2,714.0,-46.1,2.55,33.93,,,,,True,-2.97,16.3,11.9,24.0,2026-05-07,False,False,6.0,NEUTRAL,3.84,110.6,1.52,2026-04-13T14:18:26.568549
CDNS,"Cadence Design Systems, Inc.",73.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,80.0,24.0,90.0,70.0,15.0,0.3,False,down,41.9,False,0,15.9,True,2,"{'eps_growth_yoy': 41.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.9}","{'revenue_growth_yoy': 15.9, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -17.0, 'rs_6m': -25.6, 'rs_line_percentile': 0.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 21.9, 'debt_to_equity': 0.49, 'current_ratio': 2.86, 'operating_margin_pct': 32.8}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 39.9}",265.66,73346621440,Technology,Software - Application,2.3,2.2,False,376.45,-29.4,0.0,False,371.68,410.0,275.0,27.0,strong_buy,39.9,129.75,-51.2,59.28,-77.7,2.06,5.47,,,,,True,-1.49,14.1,14.6,14.0,2026-04-27,False,True,7.0,NEUTRAL,2.28,44.0,1.93,2026-04-13T14:19:52.898953
CB,Chubb Limited,73.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,60.0,65.1,65.0,60.0,60.0,53.6,False,up,141.2,True,1,13.8,False,0,"{'eps_growth_yoy': 141.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 17.3}","{'revenue_growth_yoy': 13.8, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 9.0, 'rs_6m': 13.9, 'rs_line_percentile': 53.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 14.3, 'debt_to_equity': 0.31, 'current_ratio': 0.38, 'operating_margin_pct': 24.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 4.3}",327.91,128245997568,Financial Services,Insurance - Property & Casualty,1.0,2.2,False,345.67,-5.1,6.0,False,342.09,385.0,286.0,23.0,buy,4.3,1228.08,274.5,716.47,118.5,9.46,31.24,1.18,14.9,3.88,1.49,True,-2.88,18.1,19.5,8.0,2026-04-21,False,True,6.0,NEUTRAL,9.11,,0.4,2026-04-13T14:20:48.408426
CP,Canadian Pacific Kansas City Li,71.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,70.0,53.9,55.0,60.0,35.0,41.0,False,up,18.4,True,1,3.4,True,2,"{'eps_growth_yoy': 18.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 27.5}","{'revenue_growth_yoy': 3.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 14.8, 'rs_6m': 4.9, 'rs_line_percentile': 41.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 8.6, 'debt_to_equity': 0.5, 'current_ratio': 0.49, 'operating_margin_pct': 44.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 11.5}",80.67,72385486848,Industrials,Railroads,1.0,3.4,False,89.42,-9.8,3.0,False,89.97,100.53,73.29,12.0,buy,11.5,32.8,-59.3,32.6,-59.6,2.76,2.23,0.82,19.4,0.66,0.76,True,-5.45,7.3,-7.4,16.0,2026-04-29,False,True,7.0,NEUTRAL,6.57,11.8,,2026-04-13T14:22:19.036462
MSFT,Microsoft Corporation,71.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,70.0,15.0,90.0,70.0,15.0,0.0,False,down,48.9,True,1,16.0,True,1,"{'eps_growth_yoy': 48.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 39.0}","{'revenue_growth_yoy': 16.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -20.6, 'rs_6m': -30.5, 'rs_line_percentile': 0.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 34.4, 'debt_to_equity': 0.32, 'current_ratio': 1.39, 'operating_margin_pct': 47.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 57.8}",370.87,2756445995008,Technology,Software - Infrastructure,1.1,2.5,False,555.45,-33.2,0.0,False,585.41,730.0,392.0,54.0,strong_buy,57.8,306.34,-17.4,479.4,29.3,1.95,7.22,0.98,21.3,3.64,0.79,True,-0.81,56.4,59.8,16.0,2026-04-29,False,True,6.0,NEUTRAL,4.52,45.1,0.33,2026-04-13T14:15:23.799779
PEP,"Pepsico, Inc.",70.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,85.0,90.0,53.9,45.0,50.0,35.0,47.6,False,up,38.5,False,0,63.8,True,1,"{'eps_growth_yoy': 38.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 8.8}","{'revenue_growth_yoy': 63.8, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 15.1, 'rs_6m': 8.8, 'rs_line_percentile': 47.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 42.8, 'debt_to_equity': 2.58, 'current_ratio': 0.85, 'operating_margin_pct': 14.1}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 8.3}",157.06,214691741696,Consumer Defensive,Beverages - Non-Alcoholic,1.8,3.4,False,171.48,-8.4,5.0,False,170.06,191.0,130.0,21.0,hold,8.3,255.41,62.6,180.0,14.6,3.83,6.02,3.62,93.7,5.69,3.0,True,-0.47,10.1,27.0,2.0,2026-04-16,True,False,5.0,NEUTRAL,4.4,33.8,0.26,2026-04-13T14:21:55.023824
ABT,Abbott Laboratories,70.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,60.0,24.0,90.0,70.0,15.0,0.0,False,down,34.0,True,1,10.6,False,0,"{'eps_growth_yoy': 34.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 14.7}","{'revenue_growth_yoy': 10.6, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -18.1, 'rs_6m': -25.9, 'rs_line_percentile': 0.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 13.0, 'debt_to_equity': 0.27, 'current_ratio': 1.58, 'operating_margin_pct': 21.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 31.0}",100.3,174289600512,Healthcare,Medical Devices,1.5,1.9,False,139.06,-27.9,0.0,False,131.44,158.0,113.0,25.0,buy,31.0,53.25,-46.9,37.2,-62.9,3.61,3.62,2.51,63.4,2.52,1.77,True,-0.51,18.2,-80.9,2.0,2026-04-16,True,False,6.0,NEUTRAL,4.97,42.0,,2026-04-13T14:20:18.425794
NDAQ,"Nasdaq, Inc.",70.0,⭐⭐ GOOD,🟡 Good,100.0,60.0,36.0,75.0,65.0,15.0,17.2,False,down,31.1,True,1,1.6,True,1,"{'eps_growth_yoy': 31.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 34.1}","{'revenue_growth_yoy': 1.6, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -13.2, 'rs_6m': -10.3, 'rs_line_percentile': 17.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 15.3, 'debt_to_equity': 0.78, 'current_ratio': 1.0, 'operating_margin_pct': 47.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 28.5}",83.16,47483985920,Financial Services,Financial Data & Stock Exchanges,1.6,1.7,False,101.79,-18.3,2.0,False,106.87,120.0,82.0,15.0,buy,28.5,124.5,49.7,92.7,11.5,3.51,2.94,1.3,34.0,1.08,1.28,True,-1.3,7.1,47.6,9.0,2026-04-23,False,True,9.0,STRONG,4.45,205.3,0.4,2026-04-13T14:20:29.984674
WST,"West Pharmaceutical Services, I",70.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,90.0,60.0,44.0,85.0,65.0,35.0,34.3,False,up,47.1,False,0,15.3,False,0,"{'eps_growth_yoy': 47.1, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 16.1}","{'revenue_growth_yoy': 15.3, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -5.0, 'rs_6m': -4.3, 'rs_line_percentile': 34.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 16.9, 'debt_to_equity': 0.1, 'current_ratio': 3.02, 'operating_margin_pct': 21.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 23.4}",256.55,18492534784,Healthcare,Medical Instruments & Supplies,4.7,3.3,False,322.34,-20.4,5.0,False,316.69,375.0,265.0,13.0,buy,23.4,55.91,-78.2,68.0,-73.5,1.48,3.8,0.34,12.5,0.88,0.25,True,-0.74,1202.8,2.1,9.0,2026-04-23,False,True,7.0,NEUTRAL,3.34,19.0,13.78,2026-04-13T14:18:15.197604
