Ticker,Sector,CurrentPrice,Min52w,Max52w,DistanceFromMin,RSI,Estado,Classification,DataPoints,AnalysisDate,FileDate,DaysAgo,BaseScore,FinalScore,InsiderActivity,InsiderTrades,InsiderValue,InsiderTickers,Signals,Urgency,RiskLevel,MappingCoverage
DJUSDV,Dow Jones U.S. Computer Services Index,238.62,217.48,313.36,9.720434062902344,31.000198846689187,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,90,90,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSCA,Dow Jones U.S. Gambling Index,481.97,456.94,786.57,5.477743248566558,46.96221758116573,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,86,86,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSFA,Dow Jones U.S. Financial Administration Index,398.0,382.61,632.45,4.022372651002323,44.46151697164408,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,86,86,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSRS,Dow Jones U.S. Specialty Retailers Index,3900.0,3427.2,4908.8,13.79551820728292,29.35742426300773,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,85,85,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSIS,Dow Jones U.S. Support Services Index,717.76,713.74,903.06,0.5632303079552753,53.71500736687017,🟢,OPORTUNIDAD,250,2026-03-16 09:39:23,2026-03-16,0,82,82,False,0,0,[],[],ALTA,BAJO,0
DJUSIV,Dow Jones U.S. Business Support Services Index,974.41,966.1,1315.39,0.860159403788422,51.25909345271407,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,82,82,False,0,0,[],[],ALTA,BAJO,0
DJUSIB,Dow Jones U.S. Insurance Brokers Index,616.12,597.46,891.38,3.123221638268665,53.96461023433762,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,81,81,False,0,0,[],[],ALTA,BAJO,0
DJUSBE,Dow Jones U.S. Business Training & Employment Agencies Index,83.31,75.0,128.66,11.080000000000002,38.87408394403731,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,81,81,False,0,0,[],[],ALTA,BAJO,0
DJUSIX,Dow Jones U.S. Nonlife Insurance Index,1254.23,1215.03,1458.15,3.2262577878735543,58.84751078008619,🟢,OPORTUNIDAD,250,2026-03-16 09:39:23,2026-03-16,0,81,81,False,0,0,[],[],ALTA,BAJO,0
DJUSSW,Dow Jones U.S. Software Index,6399.8,5758.2,9040.0,11.14237087978883,32.70275162925418,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,81,81,False,0,0,[],[],ALTA,BAJO,0
DJUSSP,Dow Jones U.S. Specialty Finance Index,717.77,682.16,803.35,5.220182948281931,55.49973276322819,🟢,OPORTUNIDAD,250,2026-03-16 09:39:23,2026-03-16,0,80,80,False,0,0,[],[],ALTA,BAJO,0
DJUSWU,Dow Jones U.S. Water Index,2917.3,2537.2,3135.8,14.981081507173275,33.060109289617486,🟡,CERCA,250,2026-03-16 09:39:23,2026-03-16,0,79,79,False,0,0,[],[],ALTA,BAJO,0
DJUSIP,Dow Jones U.S. Property & Casualty Insurance Index,1935.27,1792.93,2065.57,7.938960249424122,59.29626411815812,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,79,79,False,0,0,[],[],ALTA,BAJO,0
DJUSRU,Dow Jones U.S. Restaurants & Bars Index,2917.3,2686.2,3177.7,8.603231330504071,59.75694444444441,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,79,79,False,0,0,[],[],ALTA,BAJO,0
DJUSTT,Dow Jones U.S. Travel & Tourism Index,1130.07,957.74,1432.9,17.993401131831178,37.57146855383634,🟡,CERCA,250,2026-03-16 09:39:23,2026-03-16,0,78,78,False,0,0,[],[],ALTA,BAJO,0
DJUSRN,Dow Jones U.S. Residential REITs Index,208.88,206.56,254.86,1.1231603408210655,68.0422747861098,🟢,OPORTUNIDAD,250,2026-03-16 09:39:23,2026-03-16,0,76,76,False,0,0,[],[],ALTA,MEDIO,0
DJUSMC,Dow Jones U.S. Health Care Equipment & Services Index,2090.8,2083.0,2488.9,0.3744599135861825,75.48076923076908,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,76,76,False,0,0,[],[],ALTA,MEDIO,0
DJUSCS,Dow Jones U.S. Specialized Consumer Services Index,2062.2,2055.1,3402.3,0.3454819716802058,62.71186440677965,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,76,76,False,0,0,[],[],ALTA,MEDIO,0
DJUSIR,Dow Jones U.S. Insurance Index,1263.05,1239.53,1458.0,1.8974934047582537,63.438483122183584,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,75,75,False,0,0,[],[],ALTA,MEDIO,0
DJUSRP,Dow Jones U.S. Recreational Products Index,251.2,247.75,412.76,1.392532795156403,62.49566724436743,🟢,OPORTUNIDAD,250,2026-03-16 09:39:23,2026-03-16,0,75,75,False,0,0,[],[],ALTA,MEDIO,0
DJUSFT,Dow Jones U.S. Footwear Index,1215.7,1186.7,1718.4,2.443751580011797,88.329686360321,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,75,75,False,0,0,[],[],ALTA,MEDIO,0
DJUSAM,Dow Jones U.S. Medical Equipment Index,2627.1,2589.3,3122.0,1.4598540145985297,82.11120064464143,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,75,75,False,0,0,[],[],ALTA,MEDIO,0
DJUSDB,Dow Jones U.S. Brewers Index,445.2,438.36,648.25,1.5603613468382094,80.32853376597038,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,75,75,False,0,0,[],[],ALTA,MEDIO,0
DJUSES,Dow Jones U.S. Real Estate Services Index,259.45,247.88,392.49,4.667581087623041,66.03512926781134,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,74,74,False,0,0,[],[],MEDIA,MEDIO,0
DJUSCM,Dow Jones U.S. Personal Products Index,360.42,341.42,452.45,5.564993263429207,82.30826826398538,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,74,74,False,0,0,[],[],MEDIA,MEDIO,0
DJUSFP,Dow Jones U.S. Food Products Index,488.11,470.3,601.53,3.7869445035084,75.36201903185764,🟢,OPORTUNIDAD,250,2026-03-16 09:39:23,2026-03-16,0,74,74,False,0,0,[],[],MEDIA,MEDIO,0
DJUSRH,Dow Jones U.S. Real Estate Investment & Services,544.12,519.85,822.79,4.668654419544096,66.02992377905332,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,74,74,False,0,0,[],[],MEDIA,MEDIO,0
DJUSHG,Dow Jones U.S. Household Goods & Home Construction Index,998.17,943.49,1128.05,5.79550392690966,83.15524138308949,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,74,74,False,0,0,[],[],MEDIA,MEDIO,0
DJUSPC,Dow Jones U.S. Waste & Disposal Services Index,676.88,589.23,708.03,14.875345790268652,42.26567768037758,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,73,73,False,0,0,[],[],MEDIA,BAJO,0
DJUSNG,Dow Jones U.S. Personal & Household Goods Index,982.61,909.61,1087.81,8.025417486615142,84.11241551049451,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,73,73,False,0,0,[],[],MEDIA,MEDIO,0
DJUSMF,Dow Jones U.S. Mortgage Finance Index,10.8,9.98,14.77,8.216432865731466,70.00000000000001,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,73,73,False,0,0,[],[],MEDIA,MEDIO,0
DJUSHI,Dow Jones U.S. Home Improvement Retailers Index,764.7,705.04,940.02,8.461931237943958,78.74600835175636,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,73,73,False,0,0,[],[],MEDIA,MEDIO,0
DJUSFO,Dow Jones U.S. Food Producers Index,370.06,341.8,410.8,8.267992978349909,71.80655335552827,🟢,OPORTUNIDAD,250,2026-03-16 09:39:23,2026-03-16,0,73,73,False,0,0,[],[],MEDIA,MEDIO,0
DJUSAV,Dow Jones U.S. Media Agencies Index,303.91,263.38,547.04,15.388412180119987,43.965031020868594,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,73,73,False,0,0,[],[],MEDIA,BAJO,0
DJUSCP,Dow Jones U.S. Containers & Packaging Index,424.85,388.62,504.83,9.322731717358865,90.0248002204464,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,72,72,False,0,0,[],[],MEDIA,MEDIO,0
DJUSHN,Dow Jones U.S. Nondurable Household Products Index,1172.55,1067.39,1377.19,9.852069065664832,78.2677242942307,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,72,72,False,0,0,[],[],MEDIA,MEDIO,0
DJUSIL,Dow Jones U.S. Life Insurance Index,1177.86,1077.94,1346.73,9.269532627047871,72.89370560862122,🟢,OPORTUNIDAD,251,2026-03-16 09:39:23,2026-03-16,0,72,72,False,0,0,[],[],MEDIA,MEDIO,0
DJUSFD,Dow Jones U.S. Food Retailers & Wholesalers Index,1325.55,1099.62,1353.53,20.54618868336335,45.72670207629168,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,71,71,False,0,0,[],[],MEDIA,BAJO,0
DJUSGT,Dow Jones U.S. General Retailers Index,3327.7,2720.3,3649.5,22.328419659596356,48.05510534846034,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,70,70,False,0,0,[],[],MEDIA,BAJO,0
DJUSRT,Dow Jones U.S. Retail Index,3011.4,2453.4,3267.5,22.74394717534849,48.36223506743733,🟡,CERCA,250,2026-03-16 09:39:23,2026-03-16,0,70,70,False,0,0,[],[],MEDIA,BAJO,0
DJUSSF,Dow Jones U.S. Consumer Finance Index,688.72,619.26,837.68,11.216613377256731,56.2254901960784,🟡,CERCA,250,2026-03-16 09:39:23,2026-03-16,0,69,69,False,0,0,[],[],MEDIA,BAJO,0
DJUSMU,Dow Jones U.S. Multiutilities Index,310.76,249.55,314.85,24.528150671208167,44.5522717247464,🟡,CERCA,250,2026-03-16 09:39:23,2026-03-16,0,69,69,False,0,0,[],[],MEDIA,BAJO,0
DJUSTL,Dow Jones U.S. Telecommunications Index,196.1,157.97,200.14,24.1374944609736,49.82282069454289,🟡,CERCA,250,2026-03-16 09:39:23,2026-03-16,0,69,69,False,0,0,[],[],MEDIA,BAJO,0
DJUSGU,Dow Jones U.S. Gas Distribution Index,422.83,324.1,423.66,30.462820117247745,28.89661713563082,🔴,FUERTE,251,2026-03-16 09:39:23,2026-03-16,0,67,67,False,0,0,[],[],MEDIA,BAJO,0
DJUSLE,Dow Jones U.S. Leisure Goods Index,850.83,724.03,1249.95,17.513086474317372,56.4824962929534,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,66,66,False,0,0,[],[],MEDIA,BAJO,0
DJUSCH,Dow Jones U.S. Chemicals Index,1776.02,1497.87,2050.51,18.569702310614414,56.7365448108517,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,66,66,False,0,0,[],[],MEDIA,BAJO,0
DJUSFC,Dow Jones U.S. Fixed Line Telecommunications Index,165.85,137.34,175.95,20.758701033930382,57.51099937146449,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,65,65,False,0,0,[],[],MEDIA,BAJO,0
DJUSSR,Dow Jones U.S. Specialty REITs Index,276.2,229.18,284.12,20.516624487302547,59.04421616793218,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,65,65,False,0,0,[],[],MEDIA,BAJO,0
DJUSEH,Dow Jones U.S. Real Estate Holding & Development Index,68.56,50.8,69.58,34.96062992125986,17.632552404439025,🔴,FUERTE,132,2026-03-16 09:39:23,2026-03-16,0,65,65,False,0,0,[],[],MEDIA,BAJO,0
DJUSTY,Dow Jones U.S. Toys Index,1406.83,1149.53,2066.13,22.38306090315172,55.92660832181792,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,64,64,False,0,0,[],[],MEDIA,BAJO,0
DJUSVN,Dow Jones U.S. Distillers & Vintners Index,289.33,260.67,391.16,10.99474431273256,73.79499694935936,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,63,63,False,0,0,[],[],MEDIA,ALTO,0
DJUSPG,Sector PG,473.18,426.49,576.81,10.947501699922624,85.98299149574788,🟡,CERCA,250,2026-03-16 09:39:23,2026-03-16,0,63,63,False,0,0,[],[],MEDIA,ALTO,0
DJUSFB,Dow Jones U.S. Food & Beverage Index,743.76,667.95,798.54,11.349651920053889,73.80818212554948,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,62,62,False,0,0,[],[],MEDIA,ALTO,0
DJUSHP,Dow Jones U.S. Health Care Providers Index,2353.9,2106.6,3374.9,11.739295547327457,62.16139954853272,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,62,62,False,0,0,[],[],MEDIA,MEDIO,0
DJUSBV,Dow Jones U.S. Beverages Index,1033.8,895.65,1104.64,15.424552001339803,72.55965292841665,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,61,61,False,0,0,[],[],MEDIA,ALTO,0
DJUSHD,Dow Jones U.S. Durable Household Products Index,108.22,94.51,152.38,14.506401439001158,98.72327790973866,🟡,CERCA,250,2026-03-16 09:39:23,2026-03-16,0,61,61,False,0,0,[],[],MEDIA,ALTO,0
DJUSME,Dow Jones U.S. Media Index,755.14,662.35,903.98,14.009209632369588,64.22572565198172,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,61,61,False,0,0,[],[],MEDIA,MEDIO,0
DJUSSD,Dow Jones U.S. Soft Drinks Index,1015.0,874.51,1082.9,16.064996397982874,72.18903254569774,🟡,CERCA,251,2026-03-16 09:39:23,2026-03-16,0,61,61,False,0,0,[],[],MEDIA,ALTO,0
