ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
KFS,Kingsway Financial Services,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,10.69,$12.05 - $12.55,13.9,11.69,0.0,2026-03-17,25.6,-23.1,12.3,13.9,-13.1,1.26,,,,,,
PRU,"Prudential Financial,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,93.22,$97.65 - $101.63,116.03,94.66,0.0,2026-03-17,29.4,-20.4,99.64,116.03,-6.4,0.74,,,,,,
URI,"United Rentals,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,743.13,$761.68 - $792.77,931.49,738.37,39.55,2026-03-17,21.9,-22.1,777.23,931.49,-4.4,0.77,,,,,,
ALLY,Ally Financial,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,35.96,$36.56 - $38.05,43.34,35.44,14.14,2026-03-17,27.5,-23.0,37.3,43.34,-3.6,0.8,,,,,,
CNDT,CNDT,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,1.24,$1.79 - $1.86,2.07,1.73,0.0,2026-03-17,23.5,-40.1,1.82,2.07,-32.1,0.83,,,,,,
VENU,Venu Holding,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,3.5,$8.36 - $8.71,10.89,8.11,0.0,2026-03-17,11.4,-63.8,8.53,10.89,-59.0,0.51,,,,,,
BH,Biglari,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,299.77,$316.17 - $329.07,425.96,306.49,0.0,2026-03-17,27.7,-37.1,322.62,425.96,-7.1,0.48,,,,,,
IP,International Paper,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,37.54,$36.46 - $37.95,46.13,35.35,3.92,2026-03-17,26.1,-22.9,37.21,46.13,0.9,0.55,,,,,,
MNRO,"Monro,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,15.31,$16.7 - $17.38,21.11,16.19,0.0,2026-03-17,0.3,-34.9,17.04,21.11,-10.1,0.93,,,,,,
GPK,GPK,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,9.9,$14.59 - $15.19,15.94,14.15,0.0,2026-03-17,16.1,-37.3,14.89,15.94,-33.5,0.91,,,,,,
