ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at
BUKS,Butler National Corp.,78.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,91.0,95.0,50.0,100.0,100.0,True,up,,,0,24.6,True,2,{'profit_margin_pct': 21.4},"{'revenue_growth_yoy': np.float64(24.6), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(40.7), 'rs_6m': np.float64(130.9), 'rs_line_percentile': 100.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 28.4, 'debt_to_equity': 0.46, 'current_ratio': 1.89, 'operating_margin_pct': 34.3}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",3.84,247488976,Industrials,Aerospace & Defense,,,False,3.9,-1.5,8.0,True,,,,,none,,7.44,93.8,9.0,134.4,4.55,0.18,,,,,True,-2.52,14.0,50.0,,,False,False,7.0,NEUTRAL,7.73,21.8,0.13,2026-03-17T07:54:40.424882
MSGM,Motorsport Games Inc.,75.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,89.0,100.0,50.0,95.0,97.0,False,up,,,0,57.1,False,0,{'profit_margin_pct': 61.3},"{'revenue_growth_yoy': np.float64(57.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(85.1), 'rs_6m': np.float64(65.6), 'rs_line_percentile': 97.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 155.4, 'debt_to_equity': 0.0, 'current_ratio': 2.25, 'operating_margin_pct': 48.7}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",4.68,23767150,Communication Services,Electronic Gaming & Multimedia,1.9,0.7,False,5.409,-13.5,8.0,True,,,,,none,,4.24,-9.4,14.3,205.6,2.14,0.1,,,,,False,,64.7,,51.0,2026-05-07,False,False,4.0,NEUTRAL,-14.94,-2750.2,,2026-03-17T08:00:37.957128
INR,"Infinity Natural Resources, Inc",74.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,50.0,100.0,75.0,85.0,65.0,60.0,64.2,False,up,,,0,37.5,True,2,{'profit_margin_pct': 6.7},"{'revenue_growth_yoy': np.float64(37.5), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(33.1), 'rs_6m': np.float64(34.2), 'rs_line_percentile': 64.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 8.6, 'debt_to_equity': 0.16, 'current_ratio': 1.57, 'operating_margin_pct': 70.5}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 18.0}",18.46,335338816,Energy,Oil & Gas E&P,4.5,5.8,False,19.899,-7.2,5.0,False,21.78,27.0,18.0,9.0,strong_buy,18.0,,,8.9,-51.8,-53.59,-9.89,,,,,False,,7.1,,55.0,2026-05-11,False,False,7.0,NEUTRAL,5.95,6.1,0.62,2026-03-17T08:00:19.702758
VXRT,"Vaxart, Inc.",72.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,50.0,80.0,83.0,95.0,70.0,80.0,76.1,False,up,,,0,376.9,False,0,{'profit_margin_pct': 6.9},"{'revenue_growth_yoy': np.float64(376.9), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(85.2), 'rs_6m': np.float64(81.8), 'rs_line_percentile': 76.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 22.3, 'debt_to_equity': 0.15, 'current_ratio': 1.57, 'operating_margin_pct': 53.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 341.5}",0.6795,163120608,Healthcare,Biotechnology,9.4,2.6,True,0.84,-19.1,8.0,True,3.0,4.0,2.0,2.0,strong_buy,341.5,,,0.7,3.0,-18.91,-0.13,,,,,False,,-14.7,,56.0,2026-05-12,False,False,3.0,NEUTRAL,-56.51,-218.9,,2026-03-17T08:01:36.065621
PKBK,"Parke Bancorp, Inc.",72.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,86.3,65.0,50.0,95.0,90.7,False,up,,,0,25.4,True,2,{'profit_margin_pct': 48.8},"{'revenue_growth_yoy': np.float64(25.4), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(10.9), 'rs_6m': np.float64(23.1), 'rs_line_percentile': 90.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 12.1, 'operating_margin_pct': 68.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",27.38,324376256,Financial Services,Banks - Regional,1.0,1.0,False,29.5,-7.2,8.0,True,,,,,none,,,,94.8,246.2,,,2.63,22.8,0.72,3.41,True,-2.69,,26.7,30.0,2026-04-16,False,False,4.0,NEUTRAL,,,0.16,2026-03-17T07:56:39.302510
FPI,Farmland Partners Inc.,72.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,100.0,71.4,65.0,50.0,60.0,60.1,False,up,,,0,102.1,True,2,{'profit_margin_pct': 60.2},"{'revenue_growth_yoy': np.float64(102.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(22.5), 'rs_6m': np.float64(10.5), 'rs_line_percentile': 60.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 5.7, 'debt_to_equity': 0.3, 'current_ratio': 0.62, 'operating_margin_pct': 60.7}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 5.2}",11.88,526128384,Real Estate,REIT - Specialty,7.2,3.1,False,13.225,-10.2,5.0,False,12.5,12.5,12.5,2.0,hold,5.2,,,6.1,-48.7,-8.85,-1.07,3.03,39.3,0.36,1.95,True,-7.19,4.3,-29.9,50.0,2026-05-06,False,False,6.0,NEUTRAL,5.62,54.7,,2026-03-17T08:01:07.315768
BBT,Beacon Financial Corporation,71.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,100.0,73.1,60.0,65.0,80.0,76.5,False,up,,,0,142.6,True,2,{'profit_margin_pct': 17.6},"{'revenue_growth_yoy': np.float64(142.6), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(9.2), 'rs_6m': np.float64(14.4), 'rs_line_percentile': 76.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 4.9, 'operating_margin_pct': 58.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 20.1}",28.78,2414897152,Financial Services,Banks - Regional,5.1,4.0,False,32.0,-10.1,6.0,False,34.57,42.0,31.0,7.0,buy,20.1,,,30.9,7.4,,,4.47,124.9,1.29,4.53,False,,,500.8,37.0,2026-04-23,False,False,4.0,NEUTRAL,,,0.01,2026-03-17T07:58:22.748397
NVT,nVent Electric plc,71.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,80.0,82.7,80.0,60.0,95.0,93.3,False,up,,,0,31.8,False,0,{'profit_margin_pct': 18.2},"{'revenue_growth_yoy': np.float64(31.8), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(14.2), 'rs_6m': np.float64(17.3), 'rs_line_percentile': 93.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 12.3, 'debt_to_equity': 0.46, 'current_ratio': 1.63, 'operating_margin_pct': 16.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 11.5}",114.3,18485680128,Industrials,Electrical Equipment & Parts,3.4,1.9,False,122.92,-7.0,8.0,True,127.39,148.0,68.04,13.0,strong_buy,11.5,150.58,31.7,77.7,-32.0,3.11,3.55,0.73,30.8,0.84,1.49,True,-1.37,8.3,1112.4,45.0,2026-05-01,False,False,6.0,NEUTRAL,3.13,52.1,0.02,2026-03-17T07:55:54.318965
FTAI,FTAI Aviation Ltd.,70.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,90.0,75.0,65.0,70.0,60.0,67.2,False,up,,,0,31.9,True,1,{'profit_margin_pct': 20.0},"{'revenue_growth_yoy': np.float64(31.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(35.3), 'rs_6m': np.float64(35.6), 'rs_line_percentile': 67.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 241.2, 'debt_to_equity': 10.46, 'current_ratio': 5.28, 'operating_margin_pct': 28.5}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 42.4}",236.1,24217552896,Industrials,Rental & Leasing Services,4.7,2.1,False,323.51,-27.0,5.0,False,336.2,375.0,266.0,10.0,strong_buy,42.4,,,137.08,-41.9,-3.19,-7.53,0.57,27.2,1.35,3.38,True,-0.51,3.4,29.8,44.0,2026-04-30,False,False,6.0,NEUTRAL,3.12,25.2,0.71,2026-03-17T07:57:26.867288
MNR,Mach Natural Resources LP,69.8,⭐⭐ GOOD,🟡 Good,55.0,90.0,66.6,70.0,70.0,60.0,57.8,False,up,,,0,70.9,True,1,{'profit_margin_pct': 13.7},"{'revenue_growth_yoy': np.float64(70.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(23.5), 'rs_6m': np.float64(7.8), 'rs_line_percentile': 57.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 9.0, 'debt_to_equity': 0.58, 'current_ratio': 1.05, 'operating_margin_pct': 30.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 37.8}",13.79,2322550528,Energy,Oil & Gas E&P,2.3,5.6,False,15.91,-13.3,5.0,False,19.0,20.0,17.0,5.0,strong_buy,37.8,,,24.74,79.4,-18.45,-2.54,14.29,178.0,1.97,,False,,3.0,22.7,51.0,2026-05-07,False,False,4.0,NEUTRAL,6.25,6.4,0.49,2026-03-17T07:52:35.180301
