ticker,cerebro_signal,cerebro_score_adj,cerebro_reason,updated_at
ACN,BEST,5,Mejor FCF en Technology (9.9% vs media sector 9.4%),2026-03-24
ACNB,CAUTION,-8,Señal salida MEDIUM: Score cayó 21pts (65 → 44),2026-03-24
ADP,WATCH,3,Piotroski fuerte (8.0/9),2026-03-24
ADS.DE,CAUTION,-11,"Señal salida MEDIUM: Earnings en 5d — alta incertidumbre, considera reducir | Caro vs peers en Consumer Cyclical (FCF rank 21/21)",2026-03-24
ADSK,WATCH,3,Piotroski fuerte (7.0/9),2026-03-24
AHT.L,BEST,5,Mejor FCF en Industrials (15.4% vs media sector 4.7%),2026-03-24
AI.PA,WATCH,-3,Caro vs peers en Basic Materials (FCF rank 12/13),2026-03-24
AIG,BEST,5,Mejor FCF en Financial Services (27.8% vs media sector 10.7%),2026-03-24
AIR.PA,CAUTION,-11,Value trap MEDIUM: FCF negativo (-0.8%) — quema caja pese a valuación barata | Caro vs peers en Industrials (FCF rank 36/39),2026-03-24
AKZA.AS,BEST,5,Mejor FCF en Basic Materials (9.0% vs media sector 5.2%),2026-03-24
ALIT,CONFIRM,8,Smart money: 1 HF + 2 insiders (conv 35),2026-03-24
ALLY,CONFIRM,8,Smart money: 1 HF + 2 insiders (conv 51),2026-03-24
ALV.DE,WATCH,-3,Caro vs peers en Financial Services (FCF rank 14/17),2026-03-24
AMH,WATCH,3,Piotroski fuerte (8.0/9),2026-03-24
AMRZ,CAUTION,-8,Señal salida MEDIUM: Score cayó 24pts (65 → 41),2026-03-24
AMS.MC,CAUTION,-8,"Señal salida MEDIUM: Earnings en 0d — alta incertidumbre, considera reducir",2026-03-24
AMT,WATCH,0,Caro vs peers en Real Estate (FCF rank 12/14) | Piotroski fuerte (7.0/9),2026-03-24
ANET,WATCH,-3,Caro vs peers en Technology (FCF rank 19/22),2026-03-24
AON,WATCH,3,Piotroski fuerte (8.0/9),2026-03-24
APG,WATCH,3,Piotroski fuerte (9.0/9),2026-03-24
APP,WATCH,0,Caro vs peers en Communication Services (FCF rank 10/10) | Piotroski fuerte (9.0/9),2026-03-24
AROW,CAUTION,-8,Señal salida MEDIUM: Score cayó 20pts (64 → 44),2026-03-24
ASML.AS,WATCH,-3,Caro vs peers en Technology (FCF rank 18/22),2026-03-24
ATEX,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-03-24
ATLO,WATCH,3,Piotroski fuerte (7.0/9),2026-03-24
ATO.PA,BEST,5,Mejor FCF en Technology (59.3% vs media sector 9.4%),2026-03-24
AVB,CAUTION,-8,Value trap MEDIUM: Piotroski débil (4/9),2026-03-24
AVGO,WATCH,0,Caro vs peers en Technology (FCF rank 22/22) | Piotroski fuerte (8.0/9),2026-03-24
AWK,CAUTION,-8,Value trap MEDIUM: FCF negativo (-8.8%) — quema caja pese a valuación barata | Caro vs peers en Utilities (FCF rank 6/6) | Piotroski fuerte (8.0/9),2026-03-24
AZN.L,WATCH,-3,Caro vs peers en Healthcare (FCF rank 15/17),2026-03-24
BATRK,CONFIRM,8,Smart money: 1 HF + 1 insiders (conv 25),2026-03-24
BBY,BEST,5,Mejor FCF en Consumer Cyclical (6.3% vs media sector 11.5%),2026-03-24
BDL,BEST,8,Piotroski fuerte (9.0/9) | Mejor FCF en Consumer Cyclical (100.0% vs media sector 11.5%),2026-03-24
BFC,CAUTION,-8,Señal salida MEDIUM: Score cayó 15pts (52 → 37),2026-03-24
BFST,WATCH,3,Piotroski fuerte (7.0/9),2026-03-24
BLDR,BEST,5,Mejor FCF en Industrials (6.7% vs media sector 4.7%),2026-03-24
BMW.DE,BEST,5,Mejor FCF en Consumer Cyclical (64.1% vs media sector 11.5%),2026-03-24
BMY,BEST,8,Piotroski fuerte (9.0/9) | Mejor FCF en Healthcare (9.6% vs media sector 6.1%),2026-03-24
BR,WATCH,3,Piotroski fuerte (8.0/9),2026-03-24
BRO,CAUTION,-8,Value trap MEDIUM: Piotroski débil (4/9),2026-03-24
BSX,WATCH,0,Caro vs peers en Healthcare (FCF rank 14/17) | Piotroski fuerte (8.0/9),2026-03-24
BUKS,WATCH,3,Piotroski fuerte (7.0/9),2026-03-24
BWFG,CAUTION,-8,Señal salida MEDIUM: Score cayó 16pts (60 → 44),2026-03-24
CCFN,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-03-24
CCNE,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-03-24
CDNS,WATCH,0,Caro vs peers en Technology (FCF rank 21/22) | Piotroski fuerte (7.0/9),2026-03-24
CHD,WATCH,3,Piotroski fuerte (7.0/9),2026-03-24
CHRW,WATCH,3,Piotroski fuerte (7.0/9),2026-03-24
CHTR,SQUEEZE,18,Short squeeze HIGH: 26.4% short · Short muy alto (26.4% del float); Piotroski 7/9 — calidad mejorando | Piotroski fuerte (7.0/9) | Mejor FCF en Communication Services (10.0% vs media sector 6.5%),2026-03-24
