ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
NG,NovaGold Resources,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,8.13,$8.13 - $8.47,10.51,7.89,9.71,2026-03-24,11.7,-42.7,8.3,10.51,-2.0,1.36,,,,,,
LAKE,"Lakeland Industries,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,8.02,$10.59 - $11.02,15.78,10.26,0.0,2026-03-24,30.0,-20.7,10.81,15.78,-25.8,1.31,,,,,,
MNRO,"Monro,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,15.22,$16.7 - $17.38,21.11,16.19,0.0,2026-03-24,11.4,-35.3,17.04,21.11,-10.7,1.29,,,,,,
URI,"United Rentals,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,732.05,$761.68 - $792.77,931.49,738.37,0.0,2026-03-24,28.5,-23.3,777.23,931.49,-5.8,0.72,,,,,,
ALIT,"Alight,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,0.67,$1.46 - $1.52,2.36,1.42,0.0,2026-03-24,28.9,-65.8,1.49,2.36,-54.8,0.44,,,,,,
VERX,VERX,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,13.06,$18.67 - $19.44,20.62,18.1,0.0,2026-03-24,29.8,-35.7,19.06,20.62,-31.5,1.1,,,,,,
SPT,"Sprout Social,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,5.9,$9.16 - $9.54,11.37,8.88,0.0,2026-03-24,28.9,-48.2,9.35,11.37,-36.9,0.81,,,,,,
PAR,PAR Technology,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,14.04,$32.51 - $33.83,37.73,31.51,0.0,2026-03-24,27.2,-64.7,33.17,37.73,-57.7,0.56,,,,,,
KFS,Kingsway Financial Services,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,10.39,$12.05 - $12.55,13.9,11.69,0.0,2026-03-24,28.4,-25.3,12.3,13.9,-15.5,1.11,,,,,,
VENU,Venu Holding,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,3.42,$8.21 - $8.55,10.89,7.96,0.0,2026-03-24,15.5,-64.7,8.38,10.89,-59.2,0.42,,,,,,
ACVA,ACV Auctions,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,4.81,$6.28 - $6.53,8.98,6.08,0.0,2026-03-24,25.8,-46.4,6.4,8.98,-24.9,0.52,,,,,,
GPK,GPK,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,9.26,$14.59 - $15.19,15.94,14.15,0.0,2026-03-24,20.1,-41.4,14.89,15.94,-37.8,1.01,,,,,,
CVCO,"Cavco Industries,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,474.01,$493.92 - $514.08,602.2,478.8,0.0,2026-03-24,25.0,-32.1,504.0,602.2,-6.0,0.79,,,,,,
BLIN,BLIN,Bull Flag Pullback,⭐⭐ MUY BUENA,75,0.87,$0.85 - $0.89,0.99,0.82,2.4,2026-03-24,,,,,,,41.4,-12.2,0.84,0.84,Bearish,True
LUCK,Lucky Strike Entertainment,Bull Flag Pullback,⭐⭐ MUY BUENA,75,7.87,$7.71 - $8.03,9.26,7.96,0.0,2026-03-24,,,,,,,47.0,-15.0,8.21,8.21,Bearish,True
POOL,POOL,Oversold Bounce,⭐⭐ MUY BUENA,70,205.26,$235.35 - $244.95,268.14,228.14,0.0,2026-03-24,33.1,-23.9,240.15,268.14,-14.5,1.33,,,,,,
CSPI,CSPI,Oversold Bounce,⭐⭐ MUY BUENA,70,8.49,$10.72 - $11.16,14.17,10.39,0.0,2026-03-24,46.7,-34.5,10.94,14.17,-22.4,1.32,,,,,,
VEEE,VEEE,Oversold Bounce,⭐⭐ MUY BUENA,70,0.37,$1.56 - $1.62,2.66,1.51,0.0,2026-03-24,46.9,-81.3,1.59,2.66,-76.9,2.1,,,,,,
SAIC,Science Applications International,Bull Flag Pullback,⭐ BUENA,60,96.87,$94.93 - $98.81,113.94,94.36,6.8,2026-03-24,,,,,,,38.6,-15.0,97.28,97.28,Bearish,False
FLYW,Flywire,Bull Flag Pullback,⭐ BUENA,60,12.51,$12.26 - $12.76,14.7,12.11,5.53,2026-03-24,,,,,,,38.2,-14.9,12.49,12.49,Bearish,False
EMPD,Empery Digital,Bull Flag Pullback,⭐ BUENA,60,4.36,$4.27 - $4.45,5.09,4.17,3.8,2026-03-24,,,,,,,56.1,-14.3,4.3,4.3,Bearish,False
MLAB,MLAB,Bull Flag Pullback,⭐ BUENA,60,82.4,$80.75 - $84.05,96.57,83.85,0.0,2026-03-24,,,,,,,31.9,-14.7,86.45,86.45,Bearish,False
WRB,W. R. Berkley,Oversold Bounce,MODERADA,55,65.55,$65.46 - $68.13,75.01,63.46,4.52,2026-03-24,15.3,-10.5,66.8,75.01,-1.9,0.82,,,,,,
CVS,CVS Health,Oversold Bounce,MODERADA,55,71.29,$72.8 - $75.77,81.72,70.57,14.48,2026-03-24,7.6,-15.0,74.28,81.72,-4.0,0.77,,,,,,
GL,Globe Life,Oversold Bounce,MODERADA,55,137.38,$130.77 - $136.11,143.22,126.77,0.55,2026-03-24,22.5,-6.5,133.44,143.22,3.0,1.11,,,,,,
ABT,Abbott Laboratories,Oversold Bounce,MODERADA,55,104.85,$119.38 - $124.25,127.48,115.73,0.0,2026-03-24,28.4,-17.5,121.82,127.48,-13.9,0.48,,,,,,
HYMC,Hycroft Mining Holding,Oversold Bounce,MODERADA,55,32.17,$19.53 - $20.32,54.85,18.93,1.71,2026-03-24,28.2,-42.3,19.92,54.85,61.5,0.88,,,,,,
THM,International Tower Hill Mines,Oversold Bounce,MODERADA,55,2.04,$1.82 - $1.9,2.92,1.77,3.22,2026-03-24,18.8,-43.5,1.86,2.92,9.7,0.86,,,,,,
UA,"Under Armour,",Oversold Bounce,MODERADA,55,5.96,$3.96 - $4.12,4.57,3.84,-0.66,2026-03-24,23.8,-24.4,4.04,4.57,47.5,0.73,,,,,,
NKE,"NIKE,",Oversold Bounce,MODERADA,55,52.71,$59.07 - $61.48,65.86,57.26,0.0,2026-03-24,15.4,-20.0,60.27,65.86,-12.5,0.85,,,,,,
GEF,"Greif,",Oversold Bounce,MODERADA,55,64.91,$60.83 - $63.31,72.95,58.97,1.35,2026-03-24,26.0,-14.8,62.07,72.95,4.6,0.86,,,,,,
