ticker,vcp_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,ml_score,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,cerebro_signal,cerebro_score_adj,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
EXE,84.65,Expand Energy Corporation,69.3,Energy,Oil & Gas E&P,55.0,90.0,55.1,85.0,65.0,107.64,25876467712,35,35.6,False,up,,,0,52.1,True,1,2.8,1.5,False,126.621,-15.0,5.0,False,"{'roe_pct': 10.1, 'debt_to_equity': 0.27, 'current_ratio': 1.0, 'operating_margin_pct': 27.5}",{'profit_margin_pct': 15.6},130.82,152.0,86.0,28.0,strong_buy,21.5,207.46,92.7,75.7,-29.7,4.54,4.89,2.96,42.1,,True,-0.0,10.7,,35.0,2026-04-28,False,False,8.0,STRONG,8.29,10.3,3.88,BULLISH,0.11,70.0,3.0,1.0,50.0,49.599999999999994,33.9,15.0,20.8,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,False,66,200 MA declining - structural weakness,STRONG_ACCUMULATION,80,"Strong institutional buying (1.4x ratio, 56% up volume)",MEGA_FLOAT,239.4,38.0,69.6,35,False,up,35.6,2.0,,0,True,1,2.0,5,38.0,89.5,Top 25%,66.3,3.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,False,1/3,69.72,0.0,0.0,3.0,3.0,3.0,0.0,2.69,1.0,10.0,66,0,,,0.0,62.755,⭐ GOOD,🟢 Excellent,BUY,100.0,Good pullback (-15.0% from high) - valid VCP setup | Strong upside (+21.5%) - analyst support,-15.0,NEUTRAL,STRONG_BUY,False
EXEL,0.0,"Exelixis, Inc.",60.3,Healthcare,Biotechnology,60.0,50.0,47.6,95.0,60.0,41.41,11102524416,35,41.6,False,flat,,,0,7.8,False,0,14.2,9.3,True,49.62,-16.5,3.0,False,"{'roe_pct': 35.5, 'debt_to_equity': 0.09, 'current_ratio': 3.56, 'operating_margin_pct': 39.4}",{'profit_margin_pct': 33.7},46.83,60.0,35.0,18.0,buy,13.1,103.06,148.9,83.4,101.4,5.68,2.43,,,,True,-8.53,88.9,58.9,49.0,2026-05-12,False,False,6.0,NEUTRAL,9.02,60.4,0.13,,,,,,50.0,6.0,0.0,15.0,18.1,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,False,16,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 45% up volume)",MEGA_FLOAT,211.4,43.0,33.1,35,False,flat,41.6,0.0,,0,False,0,0.0,7,38.0,84.2,Top 25%,61.8,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0/3,67.91999999999999,0.0,0.0,6.0,0.0,3.0,5.0,1.64,0.0,2.0,16,0,,WATCH,6.0,6.029999999999999,⭐ GOOD,🟢 Excellent,,,,,,,
BMY,71.18181818181819,Bristol-Myers Squibb Company,62.5,Healthcare,Drug Manufacturers - General,55.0,70.0,68.7,65.0,50.0,57.0,116079001600,60,56.5,False,up,,,0,11.6,True,1,1.6,2.5,False,62.89,-9.4,6.0,False,"{'roe_pct': 40.4, 'debt_to_equity': 2.55, 'current_ratio': 1.25, 'operating_margin_pct': 28.2}",{'profit_margin_pct': 14.6},62.72,75.0,40.0,25.0,hold,10.0,232.13,307.2,103.8,82.1,9.6,5.47,4.42,72.0,3.9,False,,5.9,556.8,37.0,2026-04-30,False,False,9.0,STRONG,7.35,74.3,0.01,,,,,,50.0,51.2,28.5,15.0,18.8,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (0.8x ratio, 43% up volume)",MEGA_FLOAT,2033.2,23.0,62.2,60,False,up,56.5,2.0,,0,True,1,2.0,,38.0,,Sin datos suficientes,56.5,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,False,1/3,67.0,0.0,0.0,8.0,5.0,0.0,5.0,1.25,0.0,10.0,21,0,,,0.0,58.34090909090909,⭐ GOOD,🟢 Excellent,HOLD,50.0,Close to ATH (-9.4% from high) - wait for pullback,-9.4,NEUTRAL,HOLD,False
AVGO,65.16666666666666,Broadcom Inc.,66.0,Technology,Semiconductors,60.0,70.0,54.0,85.0,70.0,322.51,1529108234240,60,64.8,False,flat,,,0,28.7,False,0,1.0,1.9,False,414.61,-22.2,4.0,False,"{'roe_pct': 33.4, 'debt_to_equity': 1.66, 'current_ratio': 1.9, 'operating_margin_pct': 31.8}",{'profit_margin_pct': 36.6},472.01,630.0,360.0,44.0,strong_buy,46.4,228.44,-29.2,153.9,-52.3,1.67,5.39,0.81,47.2,1.99,True,-0.79,9.1,188.1,71.0,2026-06-03,False,False,8.0,STRONG,16.02,166.4,0.1,,,,,,50.0,7.899999999999999,26.1,15.0,19.8,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,False,66,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 44% up volume)",MEGA_FLOAT,405.9,53.0,60.9,60,False,flat,64.8,0.0,,0,False,0,0.0,,38.0,,Sin datos suficientes,64.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0/3,66.4,0.0,0.0,0.0,0.0,3.0,5.0,5.8,3.0,10.0,2,0,,,0.0,39.18333333333333,⭐ GOOD,🟢 Excellent,,,,,,,
AON,65.91666666666667,Aon plc,56.2,Financial Services,Insurance Brokers,60.0,50.0,36.0,80.0,65.0,325.97,70062448640,15,16.3,False,flat,,,0,-9.1,True,2,1.1,1.2,False,402.49,-19.0,1.0,False,"{'roe_pct': 46.9, 'debt_to_equity': 1.68, 'current_ratio': 1.11, 'operating_margin_pct': 31.3}",{'profit_margin_pct': 21.5},397.42,443.0,326.0,19.0,buy,21.9,604.96,85.6,510.6,56.6,4.37,14.27,0.91,17.1,0.75,True,-1.43,6.8,96.8,38.0,2026-05-01,False,False,8.0,STRONG,6.68,141.9,0.11,,,,,,50.0,14.200000000000003,26.4,15.0,16.9,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 54% up volume)",MEGA_FLOAT,208.0,38.0,58.2,15,False,flat,16.3,0.0,,0,True,2,2.0,32,38.0,18.4,Bottom 25%,13.4,-3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,66.38,0.0,0.0,3.0,0.0,3.0,5.0,2.74,1.0,10.0,18,0,,,0.0,31.078333333333337,⭐ GOOD,🟢 Excellent,,,,,,,
BR,60.11904761904762,"Broadridge Financial Solutions,",45.5,Technology,Information Technology Services,55.0,40.0,15.0,60.0,70.0,170.84,19945349120,15,9.4,False,down,,,0,-5.4,True,1,3.2,2.0,False,271.91,-37.2,0.0,False,"{'roe_pct': 41.8, 'debt_to_equity': 1.17, 'current_ratio': 0.97, 'operating_margin_pct': 12.0}",{'profit_margin_pct': 14.9},245.88,290.0,213.0,8.0,buy,43.9,434.61,154.4,271.2,58.7,6.0,10.25,2.28,41.0,1.59,True,-1.42,12.5,71.2,37.0,2026-04-30,False,False,8.0,STRONG,5.21,344.9,0.16,,,,,,50.0,0.0,24.0,15.0,13.6,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,30,"Moderate distribution (0.7x ratio, 39% up volume)",HIGH_FLOAT,116.2,50.0,52.7,15,False,down,9.4,0.0,,0,True,1,2.0,37,38.0,5.3,Bottom 25%,8.4,-3.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,0/3,66.0,0.0,0.0,6.0,3.0,3.0,5.0,5.49,3.0,10.0,26,0,,,0.0,12.109523809523807,⭐ GOOD,🟢 Excellent,,,,,,,
DECK,70.97727272727272,Deckers Outdoor Corporation,66.3,Consumer Cyclical,Footwear & Accessories,55.0,80.0,46.7,100.0,55.0,102.45,14931557376,35,36.0,False,up,,,0,91.6,False,0,3.4,1.1,False,133.43,-23.2,2.0,False,"{'roe_pct': 39.7, 'debt_to_equity': 0.13, 'current_ratio': 2.86, 'operating_margin_pct': 31.4}",{'profit_margin_pct': 19.3},128.52,184.0,90.0,21.0,none,25.5,109.75,7.1,77.44,-24.4,5.08,5.35,,,,True,-7.29,414.4,5.5,58.0,2026-05-21,False,False,8.0,STRONG,9.74,47.0,1.27,,,,,,50.0,13.299999999999997,28.4,15.0,19.9,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 42% up volume)",HIGH_FLOAT,140.7,50.0,63.3,35,False,up,36.0,2.0,,0,False,0,0.0,8,38.0,81.6,Top 25%,57.8,3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,0/3,65.52,0.0,0.0,6.0,0.0,3.0,3.0,3.19,3.0,10.0,19,0,,,0.0,34.618636363636355,⭐ GOOD,🟢 Excellent,,,,,,,
CPAY,62.26923076923077,"Corpay, Inc.",61.3,Technology,Software - Infrastructure,60.0,80.0,44.0,50.0,70.0,293.31,20519397376,35,26.5,False,down,,,0,24.1,True,1,4.0,2.9,False,361.99,-19.0,2.0,False,"{'roe_pct': 29.1, 'debt_to_equity': 2.43, 'current_ratio': 0.98, 'operating_margin_pct': 57.1}",{'profit_margin_pct': 23.6},385.85,440.0,340.0,13.0,buy,31.5,525.25,79.1,150.2,-48.8,9.21,27.76,,,,True,-3.82,4.8,9.0,43.0,2026-05-06,False,False,6.0,NEUTRAL,6.91,411.9,1.1,,,,,,50.0,15.299999999999997,24.9,15.0,18.4,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,False,16,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 48% up volume)",HIGH_FLOAT,65.5,40.0,58.3,35,False,down,26.5,0.0,,0,True,1,2.0,18,38.0,55.3,Medio,31.7,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,0/3,64.82,0.0,0.0,8.0,0.0,3.0,3.0,3.94,3.0,2.0,8,0,,,0.0,29.764615384615382,⭐ GOOD,🟡 Good,,,,,,,
ADP,63.73809523809524,"Automatic Data Processing, Inc.",52.0,Technology,Software - Application,55.0,50.0,24.0,85.0,55.0,209.71,84816945152,15,8.5,False,down,,,0,-3.5,True,2,2.9,2.6,False,329.93,-36.4,0.0,False,"{'roe_pct': 73.8, 'debt_to_equity': 0.7, 'current_ratio': 1.03, 'operating_margin_pct': 26.3}",{'profit_margin_pct': 20.0},271.4,332.0,230.0,15.0,hold,29.4,179.94,-14.2,119.6,-43.0,4.08,8.59,3.24,60.7,1.98,True,-1.79,13.3,4.6,36.0,2026-04-29,False,False,8.0,STRONG,6.67,192.0,1.52,,,,,,50.0,0.0,25.5,15.0,15.6,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,30,"Moderate distribution (0.7x ratio, 41% up volume)",MEGA_FLOAT,401.8,53.0,56.1,15,False,down,8.5,0.0,,0,True,2,2.0,29,38.0,26.3,Bajo 50%,15.8,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,0/3,63.55,0.0,0.0,3.0,5.0,3.0,1.0,3.68,3.0,10.0,12,0,,,0.0,14.56904761904762,⭐ GOOD,🟡 Good,,,,,,,
ACN,60.52272727272727,Accenture plc,58.6,Technology,Information Technology Services,55.0,70.0,27.0,85.0,65.0,200.02,123099340800,15,9.7,False,down,,,0,12.5,True,1,2.8,2.1,False,325.71,-38.6,0.0,False,"{'roe_pct': 24.8, 'debt_to_equity': 0.25, 'current_ratio': 1.34, 'operating_margin_pct': 13.8}",{'profit_margin_pct': 10.6},253.81,320.0,210.0,27.0,buy,26.9,304.23,52.1,122.0,-39.0,9.88,19.81,3.26,51.0,1.53,True,-4.92,40.0,4.0,86.0,2026-06-18,False,False,5.0,NEUTRAL,8.51,81.7,3.35,,,,,,50.0,0.0,24.2,15.0,17.6,2026-03-24 08:00:31,2026-03-24,CORRECTION,AVOID,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,30,"Moderate distribution (0.6x ratio, 38% up volume)",MEGA_FLOAT,612.7,53.0,56.8,15,False,down,9.7,0.0,,0,True,1,2.0,37,38.0,5.3,Bottom 25%,8.4,-3.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,0/3,62.44,0.0,0.0,8.0,5.0,3.0,1.0,3.36,3.0,0.0,13,0,,,0.0,13.621363636363636,⭐ GOOD,🟡 Good,,,,,,,
