Ticker,Sector,CurrentPrice,Min52w,Max52w,DistanceFromMin,RSI,Estado,Classification,DataPoints,AnalysisDate,FileDate,DaysAgo,BaseScore,FinalScore,InsiderActivity,InsiderTrades,InsiderValue,InsiderTickers,Signals,Urgency,RiskLevel,MappingCoverage
DJUSFA,Dow Jones U.S. Financial Administration Index,399.44,382.61,632.45,4.398735004312481,47.092765201952936,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50,2026-03-17,0,86,86,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSIS,Dow Jones U.S. Support Services Index,719.29,713.74,903.06,0.7775940818785488,57.451598379108525,🟢,OPORTUNIDAD,251,2026-03-17 08:59:50,2026-03-17,0,82,82,False,0,0,[],[],ALTA,BAJO,0
DJUSIV,Dow Jones U.S. Business Support Services Index,976.71,966.1,1315.39,1.0982299968947329,51.17000806902115,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50,2026-03-17,0,82,82,False,0,0,[],[],ALTA,BAJO,0
DJUSDV,Dow Jones U.S. Computer Services Index,240.84,217.48,313.36,10.741217583226051,32.615062761506266,🟡,CERCA,252,2026-03-17 08:59:50,2026-03-17,0,81,81,False,0,0,[],[],ALTA,BAJO,0
DJUSRP,Dow Jones U.S. Recreational Products Index,253.8,247.75,412.76,2.441977800201821,58.76849804388501,🟢,OPORTUNIDAD,251,2026-03-17 08:59:50,2026-03-17,0,81,81,False,0,0,[],[],ALTA,BAJO,0
DJUSCA,Dow Jones U.S. Gambling Index,476.93,456.94,786.57,4.374753796997419,52.84537081919534,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50,2026-03-17,0,80,80,False,0,0,[],[],ALTA,BAJO,0
DJUSRS,Dow Jones U.S. Specialty Retailers Index,3888.3,3427.2,4908.8,13.454131652661076,32.33040022707918,🟡,CERCA,252,2026-03-17 08:59:50,2026-03-17,0,80,80,False,0,0,[],[],ALTA,BAJO,0
DJUSIB,Dow Jones U.S. Insurance Brokers Index,624.22,597.46,891.38,4.478960934623236,52.46907839672647,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50,2026-03-17,0,80,80,False,0,0,[],[],ALTA,BAJO,0
DJUSSW,Dow Jones U.S. Software Index,6466.6,5758.2,9040.0,12.302455628495023,33.1376685315968,🟡,CERCA,252,2026-03-17 08:59:50,2026-03-17,0,80,80,False,0,0,[],[],ALTA,BAJO,0
DJUSSP,Dow Jones U.S. Specialty Finance Index,720.64,682.16,803.35,5.640905359446467,54.40637116210833,🟢,OPORTUNIDAD,251,2026-03-17 08:59:50,2026-03-17,0,80,80,False,0,0,[],[],ALTA,BAJO,0
DJUSIX,Dow Jones U.S. Nonlife Insurance Index,1262.0,1215.03,1458.15,3.86574817082706,59.68986083498997,🟢,OPORTUNIDAD,251,2026-03-17 08:59:50,2026-03-17,0,80,80,False,0,0,[],[],ALTA,BAJO,0
DJUSWU,Dow Jones U.S. Water Index,2896.1,2537.2,3135.8,14.145514740659,38.39409321642828,🟡,CERCA,251,2026-03-17 08:59:50,2026-03-17,0,79,79,False,0,0,[],[],ALTA,BAJO,0
DJUSRU,Dow Jones U.S. Restaurants & Bars Index,2941.0,2686.2,3177.7,9.485518576427674,56.44473597900954,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50,2026-03-17,0,78,78,False,0,0,[],[],ALTA,BAJO,0
DJUSTT,Dow Jones U.S. Travel & Tourism Index,1148.08,957.74,1432.9,19.87386973500114,39.44176285414481,🟡,CERCA,251,2026-03-17 08:59:50,2026-03-17,0,77,77,False,0,0,[],[],ALTA,BAJO,0
DJUSDB,Dow Jones U.S. Brewers Index,429.78,429.68,648.25,0.0232731334946857,86.23234624145785,🟢,OPORTUNIDAD,252,2026-03-17 08:59:50,2026-03-17,0,76,76,False,0,0,[],[],ALTA,MEDIO,0
