ticker,company_name,sentiment,flow_score,quality,current_price,total_premium,put_call_ratio,unusual_calls,unusual_puts,detected_date,expiration_date,days_to_expiration,total_unusual,call_premium,put_premium,sentiment_emoji,top_calls,top_puts
INTC,Intel,BULLISH,100,🔥🔥🔥 WHALE ACTIVITY,45.77,31026938.0,0.29,33,19,2026-03-16,2026-03-20,3,52,24072769.0,6954169.0,🟢,"[{'type': 'CALL', 'strike': 18.0, 'volume': 900, 'oi': 0, 'vol_oi_ratio': 900, 'last_price': 27.9, 'premium': 2511000.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 17.0, 'volume': 720, 'oi': 0, 'vol_oi_ratio': 720, 'last_price': 28.89, 'premium': 2080080.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 14.0, 'volume': 581, 'oi': 0, 'vol_oi_ratio': 581, 'last_price': 31.91, 'premium': 1853971.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]","[{'type': 'PUT', 'strike': 40.5, 'volume': 60519, 'oi': 0, 'vol_oi_ratio': 60519, 'last_price': 0.35, 'premium': 2118165.0, 'itm': False, 'implied_volatility': 0.2500075}, {'type': 'PUT', 'strike': 47.0, 'volume': 3803, 'oi': 0, 'vol_oi_ratio': 3803, 'last_price': 2.48, 'premium': 943144.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 45.0, 'volume': 6074, 'oi': 0, 'vol_oi_ratio': 6074, 'last_price': 1.45, 'premium': 880729.9999999999, 'itm': False, 'implied_volatility': 0.0312596875}]"
KKR,KKR &,BEARISH,100,🔥🔥🔥 WHALE ACTIVITY,85.93,17940396.0,207.96,3,8,2026-03-16,2026-03-20,3,11,85857.0,17854539.0,🔴,"[{'type': 'CALL', 'strike': 88.0, 'volume': 172.0, 'oi': 0, 'vol_oi_ratio': 172.0, 'last_price': 2.31, 'premium': 39732.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'CALL', 'strike': 91.0, 'volume': 209.0, 'oi': 0, 'vol_oi_ratio': 209.0, 'last_price': 1.25, 'premium': 26125.0, 'itm': False, 'implied_volatility': 0.12500875}, {'type': 'CALL', 'strike': 125.0, 'volume': 1000.0, 'oi': 0, 'vol_oi_ratio': 1000.0, 'last_price': 0.2, 'premium': 20000.0, 'itm': False, 'implied_volatility': 0.500005}]","[{'type': 'PUT', 'strike': 120.0, 'volume': 2482.0, 'oi': 0.0, 'vol_oi_ratio': 2482.0, 'last_price': 35.8, 'premium': 8885560.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 125.0, 'volume': 842.0, 'oi': 0.0, 'vol_oi_ratio': 842.0, 'last_price': 40.8, 'premium': 3435360.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 110.0, 'volume': 1133.0, 'oi': 0.0, 'vol_oi_ratio': 1133.0, 'last_price': 23.48, 'premium': 2660284.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
OXY,Occidental Petroleum,BULLISH,100,🔥🔥🔥 WHALE ACTIVITY,57.88,30581049.0,0.02,19,9,2026-03-16,2026-03-20,3,28,30114770.0,466279.0,🟢,"[{'type': 'CALL', 'strike': 27.5, 'volume': 4330.0, 'oi': 0.0, 'vol_oi_ratio': 4330.0, 'last_price': 26.7, 'premium': 11561100.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 22.5, 'volume': 3360.0, 'oi': 0.0, 'vol_oi_ratio': 3360.0, 'last_price': 31.65, 'premium': 10634400.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 20.0, 'volume': 1191.0, 'oi': 0.0, 'vol_oi_ratio': 1191.0, 'last_price': 32.9, 'premium': 3918390.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]","[{'type': 'PUT', 'strike': 55.0, 'volume': 3106.0, 'oi': 0.0, 'vol_oi_ratio': 3106.0, 'last_price': 0.4, 'premium': 124240.00000000001, 'itm': False, 'implied_volatility': 0.12500875}, {'type': 'PUT', 'strike': 57.5, 'volume': 615.0, 'oi': 0.0, 'vol_oi_ratio': 615.0, 'last_price': 1.13, 'premium': 69495.0, 'itm': False, 'implied_volatility': 0.015634843750000002}, {'type': 'PUT', 'strike': 58.0, 'volume': 487.0, 'oi': 0.0, 'vol_oi_ratio': 487.0, 'last_price': 1.35, 'premium': 65745.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
CRM,"Salesforce,",BEARISH,100,🔥🔥🔥 WHALE ACTIVITY,192.83,73665576.0,23.3,16,18,2026-03-16,2026-03-20,3,34,3031469.0,70634107.0,🔴,"[{'type': 'CALL', 'strike': 197.5, 'volume': 1333.0, 'oi': 0.0, 'vol_oi_ratio': 1333.0, 'last_price': 2.71, 'premium': 361243.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'CALL', 'strike': 167.5, 'volume': 128.0, 'oi': 0.0, 'vol_oi_ratio': 128.0, 'last_price': 25.45, 'premium': 325760.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 195.0, 'volume': 855.0, 'oi': 0.0, 'vol_oi_ratio': 855.0, 'last_price': 3.7, 'premium': 316350.0, 'itm': False, 'implied_volatility': 0.0312596875}]","[{'type': 'PUT', 'strike': 250.0, 'volume': 4227.0, 'oi': 0.0, 'vol_oi_ratio': 4227.0, 'last_price': 58.55, 'premium': 24749084.999999996, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 240.0, 'volume': 3739.0, 'oi': 0.0, 'vol_oi_ratio': 3739.0, 'last_price': 46.8, 'premium': 17498520.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 260.0, 'volume': 2064.0, 'oi': 0.0, 'vol_oi_ratio': 2064.0, 'last_price': 67.5, 'premium': 13932000.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
BA,The Boeing,BEARISH,100,🔥🔥🔥 WHALE ACTIVITY,209.89,31220020.0,5.3,11,16,2026-03-16,2026-03-20,3,27,4955244.0,26264776.0,🔴,"[{'type': 'CALL', 'strike': 200.0, 'volume': 1038.0, 'oi': 0, 'vol_oi_ratio': 1038.0, 'last_price': 11.57, 'premium': 1200966.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 210.0, 'volume': 1974.0, 'oi': 0, 'vol_oi_ratio': 1974.0, 'last_price': 4.71, 'premium': 929753.9999999999, 'itm': False, 'implied_volatility': 0.00196310546875}, {'type': 'CALL', 'strike': 215.0, 'volume': 2729.0, 'oi': 0, 'vol_oi_ratio': 2729.0, 'last_price': 2.4, 'premium': 654960.0, 'itm': False, 'implied_volatility': 0.062509375}]","[{'type': 'PUT', 'strike': 245.0, 'volume': 2419.0, 'oi': 0.0, 'vol_oi_ratio': 2419.0, 'last_price': 35.15, 'premium': 8502785.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 250.0, 'volume': 1769.0, 'oi': 0.0, 'vol_oi_ratio': 1769.0, 'last_price': 37.25, 'premium': 6589525.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 240.0, 'volume': 1523.0, 'oi': 0.0, 'vol_oi_ratio': 1523.0, 'last_price': 30.21, 'premium': 4600983.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
USAR,"USA Rare Earth,",BEARISH,100,🔥🔥🔥 WHALE ACTIVITY,19.46,3590755.0,4.87,9,14,2026-03-16,2026-03-20,3,23,611875.0,2978880.0,🔴,"[{'type': 'CALL', 'strike': 20.0, 'volume': 2801.0, 'oi': 0.0, 'vol_oi_ratio': 2801.0, 'last_price': 0.86, 'premium': 240886.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'CALL', 'strike': 11.0, 'volume': 109.0, 'oi': 0.0, 'vol_oi_ratio': 109.0, 'last_price': 10.0, 'premium': 109000.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'CALL', 'strike': 19.5, 'volume': 558.0, 'oi': 0.0, 'vol_oi_ratio': 558.0, 'last_price': 1.18, 'premium': 65844.0, 'itm': False, 'implied_volatility': 0.007822421875}]","[{'type': 'PUT', 'strike': 42.0, 'volume': 310.0, 'oi': 0, 'vol_oi_ratio': 310.0, 'last_price': 22.75, 'premium': 705250.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 55.0, 'volume': 200.0, 'oi': 0, 'vol_oi_ratio': 200.0, 'last_price': 34.87, 'premium': 697399.9999999999, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 30.0, 'volume': 485.0, 'oi': 0, 'vol_oi_ratio': 485.0, 'last_price': 9.3, 'premium': 451050.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
MSTR,Strategy,BEARISH,100,🔥🔥🔥 WHALE ACTIVITY,139.67,487262676.0,10.92,34,59,2026-03-16,2026-03-20,3,93,40878078.0,446384598.0,🔴,"[{'type': 'CALL', 'strike': 150.0, 'volume': 30259.0, 'oi': 0.0, 'vol_oi_ratio': 30259.0, 'last_price': 1.98, 'premium': 5991282.0, 'itm': False, 'implied_volatility': 0.12500875}, {'type': 'CALL', 'strike': 148.0, 'volume': 17648.0, 'oi': 0.0, 'vol_oi_ratio': 17648.0, 'last_price': 2.5, 'premium': 4412000.0, 'itm': False, 'implied_volatility': 0.12500875}, {'type': 'CALL', 'strike': 145.0, 'volume': 11618.0, 'oi': 0.0, 'vol_oi_ratio': 11618.0, 'last_price': 3.39, 'premium': 3938502.0000000005, 'itm': False, 'implied_volatility': 0.062509375}]","[{'type': 'PUT', 'strike': 400.0, 'volume': 6750.0, 'oi': 0.0, 'vol_oi_ratio': 6750.0, 'last_price': 261.75, 'premium': 176681250.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 390.0, 'volume': 4590.0, 'oi': 0.0, 'vol_oi_ratio': 4590.0, 'last_price': 251.17, 'premium': 115287030.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 350.0, 'volume': 2183.0, 'oi': 0.0, 'vol_oi_ratio': 2183.0, 'last_price': 212.67, 'premium': 46425861.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
PRU,"Prudential Financial,",BEARISH,90,🔥🔥🔥 WHALE ACTIVITY,92.0,3025164.0,107.43,1,4,2026-03-16,2026-03-20,3,5,27900.0,2997264.0,🔴,"[{'type': 'CALL', 'strike': 95.0, 'volume': 372.0, 'oi': 0, 'vol_oi_ratio': 372.0, 'last_price': 0.75, 'premium': 27900.0, 'itm': False, 'implied_volatility': 0.062509375}]","[{'type': 'PUT', 'strike': 115.0, 'volume': 680.0, 'oi': 0, 'vol_oi_ratio': 680.0, 'last_price': 23.4, 'premium': 1591199.9999999998, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 110.0, 'volume': 520.0, 'oi': 0, 'vol_oi_ratio': 520.0, 'last_price': 18.1, 'premium': 941200.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 120.0, 'volume': 160.0, 'oi': 0, 'vol_oi_ratio': 160.0, 'last_price': 28.4, 'premium': 454400.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]"
CVS,CVS Health,BULLISH,90,🔥🔥🔥 WHALE ACTIVITY,76.13,3593429.0,0.0,6,1,2026-03-16,2026-03-20,3,7,3579929.0,13500.0,🟢,"[{'type': 'CALL', 'strike': 52.5, 'volume': 475.0, 'oi': 0, 'vol_oi_ratio': 475.0, 'last_price': 29.45, 'premium': 1398875.0, 'itm': True, 'implied_volatility': 2.8818387329101567}, {'type': 'CALL', 'strike': 55.0, 'volume': 330.0, 'oi': 0, 'vol_oi_ratio': 330.0, 'last_price': 27.1, 'premium': 894300.0, 'itm': True, 'implied_volatility': 2.6543002392578128}, {'type': 'CALL', 'strike': 45.0, 'volume': 220.0, 'oi': 0, 'vol_oi_ratio': 220.0, 'last_price': 36.9, 'premium': 811800.0, 'itm': True, 'implied_volatility': 3.8417972705078123}]","[{'type': 'PUT', 'strike': 75.0, 'volume': 150.0, 'oi': 0, 'vol_oi_ratio': 150.0, 'last_price': 0.9, 'premium': 13500.0, 'itm': False, 'implied_volatility': 0.0312596875}]"
ENPH,"Enphase Energy,",BULLISH,90,🔥🔥🔥 WHALE ACTIVITY,44.07,625954.0,0.2,8,4,2026-03-16,2026-03-20,3,12,520180.0,105774.0,🟢,"[{'type': 'CALL', 'strike': 45.0, 'volume': 2869.0, 'oi': 0, 'vol_oi_ratio': 2869.0, 'last_price': 1.39, 'premium': 398791.0, 'itm': False, 'implied_volatility': 0.062509375}, {'type': 'CALL', 'strike': 46.0, 'volume': 275.0, 'oi': 0, 'vol_oi_ratio': 275.0, 'last_price': 0.93, 'premium': 25575.0, 'itm': False, 'implied_volatility': 0.12500875}, {'type': 'CALL', 'strike': 44.0, 'volume': 147.0, 'oi': 0, 'vol_oi_ratio': 147.0, 'last_price': 1.7, 'premium': 24990.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}]","[{'type': 'PUT', 'strike': 45.0, 'volume': 182.0, 'oi': 0.0, 'vol_oi_ratio': 182.0, 'last_price': 2.4, 'premium': 43680.0, 'itm': True, 'implied_volatility': 1.0000000000000003e-05}, {'type': 'PUT', 'strike': 44.0, 'volume': 170.0, 'oi': 0.0, 'vol_oi_ratio': 170.0, 'last_price': 1.94, 'premium': 32980.0, 'itm': False, 'implied_volatility': 0.007822421875}, {'type': 'PUT', 'strike': 43.0, 'volume': 140.0, 'oi': 0.0, 'vol_oi_ratio': 140.0, 'last_price': 1.33, 'premium': 18620.0, 'itm': False, 'implied_volatility': 0.062509375}]"
