ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
CSGP,CSGP,Oversold Bounce,MODERADA,50,43.63,$62.35 - $64.89,68.53,60.44,0.0,2026-03-16,37.1,-35.7,63.62,68.53,-31.4,0.82,,,,,,
HUM,HUM,Oversold Bounce,MODERADA,50,165.43,$229.54 - $238.91,278.88,222.52,0.0,2026-03-16,35.5,-41.7,234.23,278.88,-29.4,0.63,,,,,,
FIS,"Fidelity National Information Services,",Oversold Bounce,MODERADA,50,49.7,$59.39 - $61.82,66.82,57.58,0.0,2026-03-16,64.8,-25.8,60.61,66.82,-18.0,0.55,,,,,,
SXC,"SunCoke Energy,",Oversold Bounce,MODERADA,50,6.02,$5.81 - $6.05,8.22,5.64,5.73,2026-03-16,53.1,-27.8,5.93,8.22,1.5,0.87,,,,,,
SPRU,Spruce Power Holding,Oversold Bounce,MODERADA,50,4.09,$3.93 - $4.09,5.75,3.81,5.92,2026-03-16,48.0,-36.7,4.01,5.75,2.0,0.83,,,,,,
SQNS,Sequansmmunications S.A.,Oversold Bounce,MODERADA,50,3.15,$4.4 - $4.58,6.27,4.27,0.0,2026-03-16,62.5,-45.5,4.49,6.27,-29.8,0.46,,,,,,
NAVN,"Navan,",Oversold Bounce,MODERADA,50,8.9,$12.64 - $13.16,18.06,12.25,0.0,2026-03-16,48.1,-50.7,12.9,18.06,-31.0,0.78,,,,,,
WYY,WidePoint,Oversold Bounce,MODERADA,50,4.46,$5.2 - $5.42,7.34,5.04,0.0,2026-03-16,52.9,-39.6,5.31,7.34,-16.0,0.22,,,,,,
RAL,Ralliant,Oversold Bounce,MODERADA,50,42.33,$42.05 - $43.76,52.21,40.76,6.29,2026-03-16,50.8,-24.7,42.9,52.21,-1.3,0.79,,,,,,
VRNS,"Varonis Systems,",Oversold Bounce,MODERADA,50,24.68,$29.6 - $30.8,35.75,28.69,0.0,2026-03-16,88.8,-31.0,30.2,35.75,-18.3,0.61,,,,,,
LAW,"CS Disco,",Oversold Bounce,MODERADA,50,4.51,$5.74 - $5.98,8.02,5.57,0.0,2026-03-16,70.8,-46.7,5.86,8.02,-23.0,0.52,,,,,,
MSTR,Strategy,Oversold Bounce,MODERADA,50,139.67,$148.91 - $154.99,188.99,144.35,0.0,2026-03-16,61.9,-22.1,151.95,188.99,-8.1,1.18,,,,,,
VERX,VERX,Oversold Bounce,MODERADA,50,13.3,$18.72 - $19.48,23.28,18.15,0.0,2026-03-16,59.4,-35.5,19.1,23.28,-30.4,0.86,,,,,,
SONO,"Sonos,",Oversold Bounce,MODERADA,50,13.15,$14.81 - $15.41,17.83,14.35,0.0,2026-03-16,32.3,-28.7,15.11,17.83,-13.0,0.68,,,,,,
SSTI,SSTI,Oversold Bounce,MODERADA,50,6.65,$6.4 - $6.66,9.07,6.2,5.42,2026-03-16,45.9,-26.7,6.53,9.07,1.8,0.64,,,,,,
NRDY,Nerdy,Oversold Bounce,MODERADA,50,0.92,$0.96 - $1.0,1.15,0.93,0.0,2026-03-16,50.0,-27.6,0.98,1.15,-6.1,0.37,,,,,,
INTZ,Intrusion,Oversold Bounce,MODERADA,50,1.06,$0.99 - $1.04,1.54,0.96,5.01,2026-03-16,68.9,-29.3,1.01,1.54,4.4,0.91,,,,,,
CEVA,CEVA,Oversold Bounce,MODERADA,50,18.24,$19.18 - $19.97,23.69,18.6,0.0,2026-03-16,47.1,-23.1,19.57,23.69,-6.8,0.63,,,,,,
SPT,"Sprout Social,",Oversold Bounce,MODERADA,50,5.86,$9.16 - $9.54,11.37,8.88,0.0,2026-03-16,40.8,-49.8,9.35,11.37,-37.3,0.87,,,,,,
TYL,TYL,Oversold Bounce,MODERADA,50,349.79,$441.02 - $459.02,472.77,427.52,0.0,2026-03-16,67.0,-24.8,450.02,472.77,-22.3,0.52,,,,,,
THRY,"Thryv,",Oversold Bounce,MODERADA,50,2.94,$5.28 - $5.5,6.17,5.12,0.0,2026-03-16,39.3,-52.0,5.39,6.17,-45.5,0.51,,,,,,
CSPI,CSPI,Oversold Bounce,MODERADA,50,8.93,$10.82 - $11.26,14.17,10.49,0.0,2026-03-16,51.9,-33.0,11.04,14.17,-19.1,0.84,,,,,,
SCND,"Scientific Industries,",Oversold Bounce,MODERADA,50,0.74,$0.51 - $0.54,0.7,0.5,-0.15,2026-03-16,0.0,-0.1,0.52,0.7,41.0,2.94,,,,,,
IT,"Gartner,",Oversold Bounce,MODERADA,50,166.74,$219.65 - $228.61,254.59,212.92,0.0,2026-03-16,73.9,-34.5,224.13,254.59,-25.6,0.95,,,,,,
ALIT,"Alight,",Oversold Bounce,MODERADA,50,0.92,$1.46 - $1.52,2.36,1.42,0.0,2026-03-16,71.8,-56.8,1.49,2.36,-38.6,0.71,,,,,,
IBM,International Business Machines,Oversold Bounce,MODERADA,50,246.28,$281.16 - $292.63,310.65,272.55,0.0,2026-03-16,71.5,-21.3,286.89,310.65,-14.2,0.61,,,,,,
ACVA,ACV Auctions,Oversold Bounce,MODERADA,50,4.84,$6.28 - $6.53,8.98,6.08,0.0,2026-03-16,35.9,-46.1,6.4,8.98,-24.4,0.33,,,,,,
